"id","Title","wiki_title","Wet Dredge Cost (Euro)","Start Date","Wet Dredged (m^3)","Dry Dredge Cost (Euro)","Dry Dredged (m^3)","Segment IDs","Mud Volume (m^3)","Average Depth (cm)","State","End Date","Landfill Cost (Euro)","Note","Target Depth (cm)"
"00219SC0018","Job Item 00219SC0018","Job Item 00219SC0018",,,"0.0",,"0.01","MARG","327.74",,"InProgress",,,,"180.0"
"00219SC0017","Job Item 00219SC0017","Job Item 00219SC0017",,,"0.0",,"0.01","BRIA","451.28",,"InProgress",,,,"180.0"
"00219SC0011","Job Item 00219SC0011","Job Item 00219SC0011",,,"0.0",,"0.01","MARG","-32.99","205.0","InProgress",,,,"200.0"
"00219SC0012","Job Item 00219SC0012","Job Item 00219SC0012",,,"0.0",,"0.01","BRIA,CARM,MARG","646.76","141.0","InProgress",,,,"180.0"
"00103SC0102","Job Item 00103SC0102","Job Item 00103SC0102","4602.21",,"78.93","0.0","0.01","MARI3,MARI4","22.56","160.0","Finished","1998-09-30","0.0","somma di quantità in umido 53 e asciutto 25 la data è quella più recente","180.0"
"00103SC0101","Job Item 00103SC0101","Job Item 00103SC0101","2045.43",,"35.1","0.0","0.01","MARI1,MARI2","38.77","88.0","Finished","1998-09-30","0.0","sono state sommate le due quantità di asciutto 11 e umido 24 e la data è quella più recente","180.0"
"00124SC0001","Job Item 00124SC0001","Job Item 00124SC0001","0.0","2000-03-30","0.0","44799.9","388.99","TOLE","1297.57","124.0","Finished","2004-02-09","0.0",,"180.0"
"00219SC0010","Job Item 00219SC0010","Job Item 00219SC0010",,,"0.0",,"0.01","BRIA,CARM,SEBA","228.2","165.0","InProgress",,,,"180.0"
"00219SC0015","Job Item 00219SC0015","Job Item 00219SC0015",,,"0.0",,"0.01","CARM,RAFF1,SEBA","215.71",,"InProgress",,,,"180.0"
"00219SC0016","Job Item 00219SC0016","Job Item 00219SC0016",,,"0.0",,"0.01","BRIA,CARM,MARG","385.33",,"InProgress",,,,"180.0"
"00219SC0013","Job Item 00219SC0013","Job Item 00219SC0013",,,"0.0",,"0.01","NICO1,RAFF2","481.95",,"InProgress",,,,"180.0"
"00103SC0108","Job Item 00103SC0108","Job Item 00103SC0108","3068.14",,"52.62","0.0","0.01","MARI2,MARI3,PIOM1","35.82","118.0","Finished","1998-09-30","0.0","somma di quantità in umido 36 e asciutto 17 la data è quella più recente","180.0"
"00211SC0002","Job Item 00211SC0002","Job Item 00211SC0002","0.0","2004-03-31","0.0","6633.81","78.86","GIUD01","0.0",,"Finished","2006-11-13","875.35",,
"00333SC0003","Job Item 00333SC0003","Job Item 00333SC0003","2969.47",,"71.87","0.0","0.0","PLON1,PLON2","5.85","183.0","Finished","2000-10-23","9279.44","scavo effettuato nell'ambito del risanamento sponda (longitudinale)","200.0"
"00103SC0107","Job Item 00103SC0107","Job Item 00103SC0107","2140.99",,"32.9","0.0","0.01","MOND1,PIOM1,PIOM2","17.09","118.0","Finished","1999-03-30","0.0","Compilata dal tabellone di Frezza","180.0"
"00333SC0002","Job Item 00333SC0002","Job Item 00333SC0002","16333.52",,"431.26","13363.63","287.51","PLON2","21.25","186.0","Finished","2000-10-23","92803.43","scavo effettuato nell'ambito del risanamento sponda (longitudinale)","200.0"
"00333SC0001","Job Item 00333SC0001","Job Item 00333SC0001","8573.8",,"562.38","17426.7","150.92","PLON1","72.16","183.0","Finished","2000-10-23","33221.09","scavo effettuato nell'ambito del risanamento sponda (longitudinale);","200.0"
"00103SC0109","Job Item 00103SC0109","Job Item 00103SC0109","5313.09",,"84.1","0.0","0.01","GRIS2,LIO,MARI1,MIRA","23.25","140.0","Finished","1997-12-31","0.0","Compilato dal tabellone di Frezza - era segnata come 565","180.0"
"00103SC0104","Job Item 00103SC0104","Job Item 00103SC0104","2386.17",,"1846.0","0.0","0.01","LATE1,PEST1,TETT1","135.04","69.0","Finished","1998-09-30","0.0","Compilata dal tabellone di Frezza","180.0"
"00103SC0103","Job Item 00103SC0103","Job Item 00103SC0103","7670.35",,"131.55","0.0","0.01","MARI4,PEST1,PEST2","186.64","90.0","Finished","2000-02-02","0.0","Compilata dal tabellone di Frezza","180.0"
"00103SC0105","Job Item 00103SC0105","Job Item 00103SC0105","2386.17",,"39.64","0.0","0.01","SEVE1,TETT1,TETT2","46.35","94.0","Finished","1997-09-30","0.0","Compilato dalla tabella di Frezza - Computo di 19mc all'asciutto e 21mc in umido","180.0"
"00211SC0001","Job Item 00211SC0001","Job Item 00211SC0001","4067.5","2004-03-31","99.45","16237.35","185.91","GIUD01","0.0",,"Finished","2006-11-13","3167.5",,
"00103SC0112","Job Item 00103SC0112","Job Item 00103SC0112","6390.11",,"112.5","0.0","0.01","FORM,SEVE1,SEVE2","82.22","68.0","Finished","1999-03-30","0.0","variazione 1998 23,7 - Computati 89 mc in umido e 23 in asciutto","180.0"
"00361SC0001","Job Item 00361SC0001","Job Item 00361SC0001","29769.0","2001-10-04","780.0","9520.0","58.17","CTEO01","108.7","154.0","Finished","2004-02-09","0.0",,"180.0"
"00103SC0119","Job Item 00103SC0119","Job Item 00103SC0119","0.0",,"0.0","0.0","34.4","MOND1,MOND2,PEST2","45.95","118.0","Finished",,"0.0","manca scheda;solo dati scavo: 23,495 U + 10,9 A","180.0"
"00103SC0118","Job Item 00103SC0118","Job Item 00103SC0118","0.0",,"150.0","0.0","0.01","FORM,MOND2,MOND3,ZANI","24.33","124.0","Finished","2001-05-15","0.0","Solo dati per il bilancio","180.0"
"00103SC0115","Job Item 00103SC0115","Job Item 00103SC0115","1975.36",,"33.9","0.0","0.01","FORM,MOND2,MOND3,ZANI","24.33","124.0","Finished","1998-06-30","0.0","Aggiornata con la tabella di Frezza - Computo di 11mc all'asciutto e 23 in umido","180.0"
"00320SC0019","Job Item 00320SC0019","Job Item 00320SC0019","21015.44",,"280.56","0.0","0.0","CASS2,MADO1","282.71","71.0","Finished","2001-03-31","0.0","variazione post bilancio 2001 costo compresa discarica","180.0"
"00320SC0018","Job Item 00320SC0018","Job Item 00320SC0018","28697.02",,"539.0","0.0","0.0","CASS1,CASS2,MADO1,MADO2","411.33","47.0","Finished","2001-06-15","0.0","variazioni post bilancio 2001","180.0"
"00320SC0017","Job Item 00320SC0017","Job Item 00320SC0017","88991.12",,"1671.47","0.0","0.0","CASS1,CASS2","1555.15","57.0","Finished","2001-06-15","0.0","variazione post bilancio","180.0"
"00320SC0016","Job Item 00320SC0016","Job Item 00320SC0016","209656.81",,"1742.46","0.0","0.0","TORE","1718.34","99.0","Finished","2001-03-05","0.0","variazioni post bilancio 2001costo comprensivo di discarica","180.0"
"00320SC0015","Job Item 00320SC0015","Job Item 00320SC0015","2928.31",,"181.6","0.0","0.0","ORTO3","115.98","128.0","Finished","2000-06-30","777.27",,"180.0"
"00320SC0014","Job Item 00320SC0014","Job Item 00320SC0014","85593.33",,"1477.55","0.0","0.0","CAZZ,MAGG1,MAGG2","1482.36","84.0","Finished","2000-12-31","0.17","Variazioni post bilancio 2001","180.0"
"00320SC0013","Job Item 00320SC0013","Job Item 00320SC0013","31941.02",,"503.0","0.0","0.0","CAZZ,MAGG1","1266.08","92.0","Finished","2000-06-30","0.0","variazione post bilancio 2001 costo compresa discarica","180.0"
"00320SC0012","Job Item 00320SC0012","Job Item 00320SC0012","38989.63",,"614.0","0.0","0.0","CAZZ,MAGG2","0.0",,"Finished","2000-06-30","0.0","variazione post bilancio 2001 costo compresa discarica",
"00320SC0011","Job Item 00320SC0011","Job Item 00320SC0011","45911.25",,"723.0","0.0","0.0","MAGG3","0.0",,"Finished","2000-06-30","0.0","variazione post bilancio 2001 costo compresa discarica",
"00001SC0020","Job Item 00001SC0020","Job Item 00001SC0020","0.0",,"389.0","0.0","0.0",,"152.1","125.0","Finished","1993-01-01","0.0",,"180.0"
"00320SC0010","Job Item 00320SC0010","Job Item 00320SC0010","69854.85",,"1299.23","0.0","0.0","BOLD3,PERG","1410.6","67.0","Finished","2000-12-31","0.0",,"180.0"
"00320SC0020","Job Item 00320SC0020","Job Item 00320SC0020","34646.71",,"462.54","0.0","0.0","CASS2,MADO2","414.18","85.0","Finished","2001-03-31","0.0","Manca Scheda","180.0"
"00359SC0002","Job Item 00359SC0002","Job Item 00359SC0002","23498.79",,"700.0","2840.51","50.0",,"44154.86",,"Finished","2001-04-27","0.0","scavo preliminare - scavo entro cassero secco scavo finale in umido","220.0"
"00320SC0008","Job Item 00320SC0008","Job Item 00320SC0008","59913.66",,"1162.85","0.0","0.0","SANT","1596.39","80.0","Finished","2000-05-17","12769.4","variazione post bilancio 2001","180.0"
"00320SC0007","Job Item 00320SC0007","Job Item 00320SC0007","14641.55",,"350.0","0.0","0.0","RACH2","394.41","68.0","Finished","2000-05-02","3886.34","variazione post bilancio","180.0"
"00320SC0009","Job Item 00320SC0009","Job Item 00320SC0009","14007.68",,"358.76","0.0","0.0","ORSO","401.42","83.0","Finished","2000-03-29","3941.86","variazioni post bilancio 2001","180.0"
"00320SC0004","Job Item 00320SC0004","Job Item 00320SC0004","13804.89",,"330.0","0.0","0.0","TRAP","337.45","58.0","Finished","2000-04-13","3664.26",,"180.0"
"00320SC0003","Job Item 00320SC0003","Job Item 00320SC0003","6902.45",,"165.0","0.0","0.0","TRAP","165.27","90.0","Finished","2000-04-13","1832.13","variazione post bilancio 2001","180.0"
"00320SC0006","Job Item 00320SC0006","Job Item 00320SC0006","10458.25",,"250.0","0.0","0.0","RACH1","311.59","73.0","Finished","2000-05-02","2775.96","variazione post bilancio","180.0"
"00320SC0005","Job Item 00320SC0005","Job Item 00320SC0005","49224.43",,"1366.36","0.0","0.0","TRAP","1472.9","65.0","Finished","2000-04-10","14990.16","variazione post bilancio 2001","180.0"
"00219SC0007","Job Item 00219SC0007","Job Item 00219SC0007",,,"0.0",,"0.01","RAFF2","1473.26",,"InProgress",,,,"180.0"
"00219SC0006","Job Item 00219SC0006","Job Item 00219SC0006",,,"0.0",,"0.01","MARG","-2113.3","260.0","InProgress",,,,"200.0"
"00320SC0002","Job Item 00320SC0002","Job Item 00320SC0002","33884.74",,"1831.0","0.0","0.0","ORTO2","1267.82","122.0","Finished","2000-12-31","8994.1",,"180.0"
"00219SC0009","Job Item 00219SC0009","Job Item 00219SC0009",,,"0.0",,"0.01","BRIA,MARG","1465.17","133.0","InProgress",,,,"180.0"
"00320SC0001","Job Item 00320SC0001","Job Item 00320SC0001","133513.62",,"2653.7","0.0","0.0","BIAG2,CONV","2270.27","113.0","Finished","2000-12-31","0.0","vecchia commessa 346","180.0"
"00219SC0002","Job Item 00219SC0002","Job Item 00219SC0002",,,"0.0",,"0.01","BRIA","251.96","134.0","InProgress",,,,"180.0"
"00106SC0003","Job Item 00106SC0003","Job Item 00106SC0003","21727.16",,"490.32","0.0","90.0","MALP2,ROMI","300.99","156.0","Finished","2003-05-30","0.0","Sulla scheda solo scavi a umido; valori a secco precedenti x bil.","180.0"
"00219SC0003","Job Item 00219SC0003","Job Item 00219SC0003",,,"0.0",,"0.01","CARM,RAFF1,SEBA","580.63","159.0","InProgress",,,,"180.0"
"00106SC0002","Job Item 00106SC0002","Job Item 00106SC0002","52084.17",,"1052.7","0.0","0.01","MALP1,MALP2,TOLA1,TOLA2","350.03","143.0","Finished","2003-05-30","0.0",,"180.0"
"00219SC0004","Job Item 00219SC0004","Job Item 00219SC0004",,,"0.0",,"0.01","NICO1,RAFF1,RAFF2","936.96","109.0","InProgress",,,,"180.0"
"00106SC0001","Job Item 00106SC0001","Job Item 00106SC0001","108935.64",,"1449.03","0.0","380.02","MALP1,MALP2,MALP3,MALP4,ROMI,TOLA1","810.01","153.0","Finished","2003-05-30","0.0","Sulla scheda solo scavi a umido; valori a secco precedenti x bil.","180.0"
"00219SC0005","Job Item 00219SC0005","Job Item 00219SC0005",,,"0.0",,"0.01","RAFF1,RAFF2,SEBA","1259.45","112.0","InProgress",,,,"180.0"
"00001SC0108","Job Item 00001SC0108","Job Item 00001SC0108","0.0",,"134.0","0.0","0.0",,"213.39","117.0","Finished","1991-01-01","0.0",,"180.0"
"00001SC0109","Job Item 00001SC0109","Job Item 00001SC0109","0.0",,"634.0","0.0","0.0",,"687.14","138.0","Finished","1991-01-01","0.0",,"180.0"
"00219SC0001","Job Item 00219SC0001","Job Item 00219SC0001",,,"0.0",,"0.01","BRIA","1834.27","121.0","InProgress",,,,"180.0"
"00001SC0102","Job Item 00001SC0102","Job Item 00001SC0102","0.0",,"748.0","0.0","334.0",,"587.99","92.0","Finished","1986-01-01","0.0",,"180.0"
"00001SC0103","Job Item 00001SC0103","Job Item 00001SC0103","0.0",,"1307.0","0.0","604.0",,"604.29","127.0","Finished","1985-01-01","0.0",,"180.0"
"00001SC0100","Job Item 00001SC0100","Job Item 00001SC0100","0.0",,"557.0","0.0","185.0",,"214.52","146.0","Finished","1984-01-01","0.0",,"180.0"
"00001SC0101","Job Item 00001SC0101","Job Item 00001SC0101","0.0",,"202.0","0.0","90.0",,"124.02","111.0","Finished","1986-01-01","0.0",,"180.0"
"00320SC0032","Job Item 00320SC0032","Job Item 00320SC0032","3441.18",,"81.0","0.0","0.0","RACH1,RACH2","5.62","166.0","Finished","2000-05-02","0.0","costo comprensivo di costo discarica variazione post bilancio 2001","180.0"
"00318SC0001","Job Item 00318SC0001","Job Item 00318SC0001","22283.05",,"612.0","14864.15","193.0","CDON02","85.29","143.0","Finished","2001-09-22","0.0","scavo a secco entro cassero","180.0"
"00102SC0022","Job Item 00102SC0022","Job Item 00102SC0022","1888.01",,"28.57","0.0","0.01","MARN,ORIO3,ZUAN","32.47","134.0","Finished","1998-09-30","0.0","Vedi scheda del segmento ORIO3","180.0"
"00320SC0033","Job Item 00320SC0033","Job Item 00320SC0033","1277.75",,"2.03","0.0","0.0","TRAP","43.93","65.0","Finished",,"0.0","variazioni post bilancio 2001","180.0"
"00102SC0021","Job Item 00102SC0021","Job Item 00102SC0021","2674.29",,"40.47","0.0","0.01","2TOR2,BERN,POLO1","56.98","48.0","Finished","1998-06-30","0.0",,"180.0"
"00102SC0024","Job Item 00102SC0024","Job Item 00102SC0024","10649.07",,"161.14","0.0","0.01","FRES,MUNE,PANT","68.75","92.0","Finished","1997-07-15","0.0",,"180.0"
"00102SC0023","Job Item 00102SC0023","Job Item 00102SC0023","900.68",,"13.63","0.0","0.01","AMAL,POLO2,POLO3","43.1","132.0","Finished","1999-10-31","0.0",,"180.0"
"00003SC0089","Job Item 00003SC0089","Job Item 00003SC0089","0.0",,"1340.0","0.0","0.0","TENT2","715.05","157.0","Finished","1998-01-01","0.0",,"180.0"
"00003SC0095","Job Item 00003SC0095","Job Item 00003SC0095","0.0",,"870.0","0.0","0.0","MADA1,MADA2","1120.4","89.0","Finished","1998-01-01","0.0",,"180.0"
"00003SC0094","Job Item 00003SC0094","Job Item 00003SC0094","0.0",,"280.0","0.0","0.0","BOTE","226.33","135.0","Finished","1998-01-01","0.0",,"180.0"
"00320SC0021","Job Item 00320SC0021","Job Item 00320SC0021","58096.58",,"775.6","0.0","0.0","MADO3","524.95","107.0","Finished","2001-03-31","0.0",,"180.0"
"00305SC0002","Job Item 00305SC0002","Job Item 00305SC0002","0.0",,"10.0","2452.9","95.0",,"220.05","271.0","Finished","2002-09-03","1355.55","Scavo ad umido entro cassero a carico dell'impresa","500.0"
"00320SC0022","Job Item 00320SC0022","Job Item 00320SC0022","82411.03",,"1970.0","0.0","0.0","ALVI","2214.16","149.0","Finished","2000-06-30","21874.53",,"180.0"
"00305SC0003","Job Item 00305SC0003","Job Item 00305SC0003","0.0",,"10.0","1910.68","74.0",,"319.64","271.0","Finished","2002-09-03","1084.44","Scavo ad umido entro cassero a carico dell'impresa","500.0"
"00320SC0023","Job Item 00320SC0023","Job Item 00320SC0023","27609.79",,"1498.0","0.0","0.0","ORTO1","990.5","125.0","Finished","2000-12-31","7328.52",,"180.0"
"00305SC0001","Job Item 00305SC0001","Job Item 00305SC0001","0.0",,"10.0","2633.64","102.0",,"394.45","271.0","Finished","2002-06-24","1445.92","Scavo ad umido entro cassero a carico dell'impresa","500.0"
"00136SC0016","Job Item 00136SC0016","Job Item 00136SC0016","0.0","2002-12-01","0.0","0.0","100.0","GREC,LORE2,PROV1","58.61","109.0","Finished","2006-06-13","0.0","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58).
I dati relativi alla presente scheda sono contenuti nella scheda 00136sc0005 per una quantità valutabile del 5%.","180.0"
"00320SC0026","Job Item 00320SC0026","Job Item 00320SC0026","0.0",,"89.0","0.0","0.0","ORTO2,ORTO3","24.47","157.0","Finished","2000-12-31","0.0",,"180.0"
"00136SC0015","Job Item 00136SC0015","Job Item 00136SC0015","317.14","2002-02-15","6.82","0.0","0.0","LORE1,LORE2","39.72","157.0","Finished","2006-06-13","35.23","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58)","200.0"
"00320SC0027","Job Item 00320SC0027","Job Item 00320SC0027","0.0",,"70.0","0.0","0.0","ORTO1,ORTO2","50.96","122.0","Finished","2000-12-31","0.0",,"180.0"
"00136SC0018","Job Item 00136SC0018","Job Item 00136SC0018","0.0",,"0.0","0.0","100.0","LATE2,LORE1","83.37","147.0","Finished","2006-06-13","0.0","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58).
I dati relativi alla presente scheda sono contenuti nella scheda 00136sc0012 per una quantità valutabile del 15%.","200.0"
"00320SC0028","Job Item 00320SC0028","Job Item 00320SC0028","3850.88",,"51.41","0.0","0.0","MADO2,MADO3","36.53","107.0","Finished","2001-03-30","0.0",,"180.0"
"00136SC0017","Job Item 00136SC0017","Job Item 00136SC0017","4396.33",,"94.58","0.0","0.0","PROV1,PROV2","49.64","109.0","Finished","2006-06-13","488.48","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58)","180.0"
"00320SC0029","Job Item 00320SC0029","Job Item 00320SC0029","3949.76",,"52.73","0.0","0.0","CASS2,MADO1,MADO2","36.42","71.0","Finished","2001-03-30","0.0","variazione post bilancio 2001costo compresa discarica","180.0"
"00136SC0012","Job Item 00136SC0012","Job Item 00136SC0012","16757.28","2003-09-01","360.47","10164.034","123.0","LATE2,LORE1","481.81","147.0","Finished","2006-06-13","1289.46","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58)","200.0"
"00136SC0011","Job Item 00136SC0011","Job Item 00136SC0011","0.0",,"0.0","0.0","100.68","LORE2,PROV1","1506.82","138.0","Finished","2006-06-13","0.0","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58).
Vedi scheda 00136sc0004","200.0"
"00212SC0001","Job Item 00212SC0001","Job Item 00212SC0001","0.0",,"0.0","0.0","0.01",,"0.0",,"Finished",,"0.0",,
"00136SC0010","Job Item 00136SC0010","Job Item 00136SC0010","0.0",,"0.0","0.0","100.0","GREC,PROV1","1505.08","144.0","Finished","2006-06-13","0.0","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58).
Vedi scheda 00136sc0005","200.0"
"00358SC0002","Job Item 00358SC0002","Job Item 00358SC0002","2375.0","2003-12-18","95.0","11809.8","65.61",,"0.0",,"Finished","2006-03-03","29899.56",,"180.0"
"00358SC0003","Job Item 00358SC0003","Job Item 00358SC0003","2250.0","2003-11-03","90.0","14823.0","82.35",,"0.0",,"Finished","2006-03-03","34973.19",,"180.0"
"00358SC0004","Job Item 00358SC0004","Job Item 00358SC0004","1169.5","2004-10-07","46.78","17640.0","98.0",,"0.0",,"Finished","2006-03-03","31650.16",,"180.0"
"00358SC0001","Job Item 00358SC0001","Job Item 00358SC0001","3750.0","2004-06-28","150.0","29091.6","161.62",,"0.0",,"Finished","2006-03-03","61322.5",,"180.0"
"00350SC0001","Job Item 00350SC0001","Job Item 00350SC0001","46662.4",,"1003.0","0.0","0.0",,"0.0",,"Finished","2000-06-30","0.0","segmento non in DB; costo conferimento discarica = 893.471.000",
"00320SC0031","Job Item 00320SC0031","Job Item 00320SC0031","12483.35",,"196.59","0.0","0.0","CAZZ,MAGG1,MAGG2","73.15","92.0","Finished","2000-06-30","0.0","variazione post bilancio 2001 costo compresa discarica","180.0"
"00320SC0030","Job Item 00320SC0030","Job Item 00320SC0030","15975.91",,"251.59","0.0","0.0","MAGG2,MAGG3","37.29","157.0","Finished","2000-12-31","0.0","variazione post bilancio 2001 costo compresa discarica","180.0"
"00102SC0002","Job Item 00102SC0002","Job Item 00102SC0002","0.0",,"0.0","12563.25","190.1","2TOR2,BERN,POLO1","264.94","48.0","Finished","1998-06-30","0.0",,"180.0"
"00100SC0001","Job Item 00100SC0001","Job Item 00100SC0001","0.0",,"3010.0","0.0","2662.0",,"44154.86",,"Finished","1999-11-17","0.0",,"220.0"
"00136SC0007","Job Item 00136SC0007","Job Item 00136SC0007","8437.81","2003-09-01","181.53","0.0","0.0","LATE2,LORE1","193.67","157.0","Finished","2006-06-13","937.54","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58)","200.0"
"00102SC0001","Job Item 00102SC0001","Job Item 00102SC0001","0.0",,"0.0","14249.62","215.62","2TOR2,BERN","32.09","169.0","Finished","1998-06-30","0.0",,"180.0"
"00136SC0006","Job Item 00136SC0006","Job Item 00136SC0006","13389.34",,"288.06","9994.47","120.95","LATE2","841.38","148.0","Finished","2001-12-31","0.0","Scavo a secco eseguito nel cassero longitudinale da GIUS0004 a GIUS0013;compilaz. effettiva 20/02/2002","200.0"
"00102SC0004","Job Item 00102SC0004","Job Item 00102SC0004","0.0",,"0.0","14075.16","212.98","AMAL,POLO1,POLO2,STIN","303.31","132.0","Finished","1999-10-31","0.0","scheda divisa in 3 segmenti","180.0"
"00136SC0005","Job Item 00136SC0005","Job Item 00136SC0005","29107.86","2001-11-01","626.23","21225.06","256.86","GREC,PROV1","1505.08","144.0","Finished","2006-06-13","3518.53","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58)","200.0"
"00102SC0003","Job Item 00102SC0003","Job Item 00102SC0003","0.0",,"0.0","21986.56","332.7","ERBE,POLO4,POLO5","426.29","74.0","Finished","1997-08-26","0.0",,"180.0"
"00136SC0004","Job Item 00136SC0004","Job Item 00136SC0004","18315.88","2002-12-01","394.05","13693.62","165.72","LORE2,PROV1","1506.82","138.0","Finished","2006-06-13","4407.6","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58) Le date sono riferite alla costruzione e disarmo dei casseri provvisionali e indipendenti dallo scavo in umido eseguito preliminarmente.","200.0"
"00136SC0009","Job Item 00136SC0009","Job Item 00136SC0009","8003.12","2002-01-01","172.18","0.0","0.0","PROV2","131.27","89.0","Finished","2006-06-13","889.24","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58).
Il bacino di intervento è stato limitato dai casseri 4B (spostato rispetto al progetto all'interno Ponte Dei Carmini) 4A  e 4 (come da progetto).","180.0"
"00136SC0008","Job Item 00136SC0008","Job Item 00136SC0008","3973.0","2002-12-01","85.47","2225.39","26.93","GREC,LORE2,PROV1","266.24","109.0","Finished","2006-06-13","441.43","manca scheda; valori x bilancio ripartiti in parti uguali (tot. 1200,58)","180.0"
"00371SC0006","Job Item 00371SC0006","Job Item 00371SC0006","102141.93","2002-02-01","1658.76","0.0","0.0","LEPA03,SVEV01","13556.07",,"Finished","2003-10-16","18412.24","Il costo dello scavo è comprensivo di tutte le lavorazioni pertinenti, ovvvero salpamenti, sottoservizi, ecc.","220.0"
"00003SC0065","Job Item 00003SC0065","Job Item 00003SC0065","0.0",,"531.6","0.0","0.0","GARZ","1123.23","73.0","Finished","1998-01-01","0.0",,"180.0"
"00371SC0005","Job Item 00371SC0005","Job Item 00371SC0005","218559.49","2002-02-01","2524.65","0.0","0.0","CANA01,LEPA02,LEPA03","4914.52",,"Finished","2003-10-16","28023.62","il costo dello scavo è comprensivo di tutte le lavorazioni pertinenti ovvero salpamenti, sottoservizi, ecc.","180.0"
"00102SC0009","Job Item 00102SC0009","Job Item 00102SC0009","4818.8",,"156.55","54956.7","831.5","MARN,ZUAN","1235.05","134.0","Finished","1998-11-24","0.0","per gli scavi in asciutto si è fatta la somma di due schede","180.0"
"00003SC0066","Job Item 00003SC0066","Job Item 00003SC0066","0.0",,"231.4","0.0","0.0","ANZO1","473.52","77.0","Finished","1998-01-01","0.0",,"180.0"
"00371SC0004","Job Item 00371SC0004","Job Item 00371SC0004","188886.62","2002-02-01","2305.79","0.0","0.0","CANA01,LEPA02,LEPA03","5085.56",,"Finished","2003-10-16","25594.27","Il costo dello scavo è comprensivo di tutte le lavorazioni pertinenti, ovvvero salpamenti, sottoservizi, ecc.","180.0"
"00371SC0003","Job Item 00371SC0003","Job Item 00371SC0003","110876.09","2002-02-01","1806.7","0.0","0.0","CANA01,LEPA01,LEPA02,LEPA03,SCUO01","3137.92",,"Finished","2003-10-16","20054.37","Il costo dello scavo è comprensivo di tutte le lavorazioni pertinenti, ovvvero salpamenti, sottoservizi, ecc.","180.0"
"00102SC0006","Job Item 00102SC0006","Job Item 00102SC0006","0.0",,"0.0","16255.53","246.0","AGOS,BERN,POLO1,POLO2","338.83","113.0","Finished","1997-12-31","0.0",,"180.0"
