Codice_Ponte,Numero_Zucchetta,Nome_Ponte,Segmento,Nome_Rio,Isola_Nord,Isola_Sud,Sestiere_Nord,Sestiere_Sud
VELE,205,Ponte de le Vele,PRIU2,Rio Priuli,62,64,CN,CN
PRIULI,206,Ponte Priuli,PRIU1,Rio Priuli,58,64,CN,CN
2POZZI,207,Ponte Piano (senza nome) va in Ruga,PRIU2,Rio Priuli,62,63,CN,CN
RACH1_P1,208,Ponte Privato v‡ al civico 3777,RACH1,Rio de la Racheta,58,59,CN,CN
FELICE,209,Ponte Novo S.Felice,FELI2,Rio de S. Felice,18,64,CN,CN
BELLI,210,Ponte Ubaldo Belli,FELI2,Rio de S. Felice,18,64,CN,CN
RACHET,211,Ponte de la Racheta,FELI1,Rio de S. Felice,18,64,CN,CN
CHIODO_P1,212,"Ponte Privato, 3750 (P. Chiodo",FELI1,Rio de S. Felice,18,64,CN,CN
PASQU2,213,Ponte Pasqualigo,NOAL4,Rio de Noal,17,18,CN,CN
MISERI,214,Ponte de la Misericodia,NOAL1,Rio de Noal,9,18,CN,CN
OGIO,215,Ponte de l'Ogio,MADA,Rio de la Madalena,16,17,CN,CN
CORRER,216,Ponte Correr,MADA,Rio de la Madalena,17,16,CN,CN
MADA_P1,217,Ponte Privato v‡ al civico 2205,MADA,Rio de la Madalena,17,16,CN,CN
ANTONIO,218,Ponte S. Antonio,MADA,Rio de la Madalena,16,17,CN,CN
FOSCA,219,Ponte S.Fosca,FOSC3,Rio de S. Fosca,14,17,CN,CN
VENDRA,220,Ponte Vendramin,FOSC3,Rio de S. Fosca,14,17,CN,CN
DIEDO,221,Ponte Diedo,GRIM2,Rio Grimani,12,14,CN,CN
MORO,222,Ponte Moro,GRIM1,Rio Grimani,12,13,CN,CN
ZANCAN,223,Ponte Zancan,TRAP,Rio del Trapolin,13,14,CN,CN
STORT4,224,Ponte Storto,MARC,Rio de S. Marcuola,16,15,CN,CN
ANCONE,225,Ponte de l'Anconeta,MARC,Rio de S. Marcuola,15,16,CN,CN
MARZIA,226,Ponte S. Marziale,MISE6,Rio de la Misericordia,9,13,CN,CN
MISE5_P1,227,Ponte Privato v‡ al civico 2601,MISE5,Rio de la Misericordia,9,12,CN,CN
ASEO,228,Ponte de l'Aseo,MISE3,Rio de la Misericordia,8,15,CN,CN
LORED2,229,Ponte Loredan,MISE2,Rio de la Misericordia,8,15,CN,CN
ORMESI,230,Ponte dei Ormesini,MISE2,Rio de la Misericordia,8,15,CN,CN
GHETON,231,Ponte del Gheto Novo,MISE1,Rio de la Misericordia,8,11,CN,CN
GIROLA,232,Ponte S. Girolamo,GIRO2,Rio de S. Girolamo,7,10,CN,CN
CAPUZI,233,Ponte de le Capuccine,GIRO2,Rio de S. Girolamo,7,10,CN,CN
MORO2,234,Ponte Moro,GIRO1,Rio de Ca'Moro,15,7,CN,CN
NOV3,235,Ponte Novo,BATE,Rio del Batelo,15,10,CN,CN
BATELO,236,Ponte del Batelo,BATE,Rio del Batelo,10,15,CN,CN
BATE_P1,237,Ponte Privato v‡ al civico 1104,BATE,Rio del Batelo,10,15,CN,CN
GHETOV,238,Ponte del Gheto Vechio,GHET2,Rio del Ghetto Nuovo,11,15,CN,CN
GHETONS,239,Ponte del Gheto Novissimo,GHET2,Rio del Ghetto Nuovo,11,15,CN,CN
TORETE,240,Ponte de le Torete,TRTE,Rio de le Torete,7,8,CN,CN
LUSTRA,241,Ponte dei Lustraferi,LUST,Rio dei Lustraferi,8,9,CN,CN
ABAZIA2,242,Ponte de l'Abazia,SENS6,Rio de la Sensa,6,9,CN,CN
VECIA,243,Ponte Corte Vechia,SENS6,Rio de la Sensa,6,9,CN,CN
MORI,244,Ponte dei Mori,SENS5,Rio de la Sensa,5,9,CN,CN
FORNO2,245,Ponte del Forno,SENS3,Rio de la Sensa,4,8,CN,CN
MALVAS,246,Ponte de la Malvasia,SENS2,Rio de la Sensa,3,8,CN,CN
TURLON,247,Ponte Turlona,SENS2,Rio de la Sensa,3,8,CN,CN
SENSA,248,Ponte Contarini o de la Sensa,SENS1,Rio de la Sensa,3,7,CN,CN
TRASTI,249,Ponte dei Trasti,SENS3,Rio dei Trasti,3,4,CN,CN
BRAZZO,250,Ponte Brazzo,SENS5,Rio Brazzo,4,5,CN,CN
MUTI,251,Ponte dei Muti,MUTI,Rio dei Muti,5,6,CN,CN
SACCAM,252,Ponte de la Sacca de la Misericordia,ORTO3,Rio de la Madona de l'Orto,2,6,CN,CN
ORTO,253,Ponte de la Madona de l'Orto,ORTO2,Rio de la Madona de l'Orto,2,5,CN,CN
LOREDA,254,Ponte Loredan,ORTO1,Rio de la Madona de l'Orto,2,4,CN,CN
ALVISE,255,Ponte S. Alvise,ALVI,Rio de S. Alvise,1,3,CN,CN
BONAVE,256,Ponte de San Bonaventura,ALVI,Rio de S. Alvise,1,3,CN,CN
CAVBON,257,Ponte sulla Cavana (S.Bonaventura),ALVI,Rio de S. Alvise,1,1,CN,CN
GUGLIE,258,Ponte de le Guglie,CANN4,Canal de Cannaregio,15,20,CN,CN
3ARCHI,259,Ponte dei Tre Archi,CANN2,Canal de Cannaregio,15,123,CN,CN
SAPONE,260,Ponte de le Saponete,CANN2,Canal de Cannaregio,19,123,CN,CN
GIOB_P1,261,Ponte Privato v‡ al civico 621,GIOB,Rio de S. Giobbe,19,123,CN,CN
ENEL_P1,262,Ponte Privato-Passerella Enel,GIOB,Rio de S. Giobbe,19,123,CN,CN
ENEL_P2,263,Ponte Privato-Passerella Enel,GIOB,Rio de S. Giobbe,19,123,CN,CN
PRIULC,266,Ponte Priuli ai Cavalletti,CREA2,Rio de la Crea,123,0,CN,CN
X1_P1,272,"Ponte Privato, va alla Manifattura",,Rio de Sant'Andrea de la Zirada,0,0,SC,SC
COSSET,273,Ponte Cossetti,,Rio de Sant'Andrea de la Zirada,0,0,SC,SC
3PONTI1,274,Ponte dei Tre Ponti,NUOV1,Rio Novo,0,0,SC,SC
TABACC,278,Ponte della Manifattura Tabacc,BURC,Rio de le Burchiele,0,0,SC,SC
CAZZIOL,280,Ponte de la Cazziola,CAZZ,Rio de la Cazziola e de Ca' Rizzi,0,0,SC,SC
RIZZI2,281,Ponte de Ca' Rizzi,SMAR1,Rio de S. Maria Maggior,0,0,SC,SC
CHIARA,282,Ponte Secondo S. Chiara,NUOV1,Rio Novo,0,0,SC,SC
PAPADO,283,Ponte Papadopoli,NOVO1,Rio Novo,0,0,SC,SC
CROZE,284,Ponte de la Croze,TOLE,Rio dei Tolentini e de la Crose,0,0,SC,SC
TOLENT,285,Ponte dei Tolentini,TOLE,Rio dei Tolentini e de la Crose,0,0,SC,SC
PANTAL,286,Ponte de S. Pantalon,PANT,Rio de S. Pantalon,0,0,SC,SC
VINANT,287,Ponte Vinante,PANT,Rio de S. Pantalon,0,0,SC,SC
SECHER,288,Ponte de le Sechere,ZUAN,Rio de le Muneghete,0,0,SP,SP
ZUAN_P1,289,Ponte va al Civico 197/A,ZUAN,Rio de le Muneghete,0,0,SP,SP
CANAL2,290,Ponte Canal,AVOG,Rio dei Ognisanti,0,0,DD,DD
LATTE,291,Ponte de la Latte,GIAC1,Rio Marin,0,0,SP,SP
CRIST3,292,Ponte del Cristo,MARN,Rio Marin,0,0,SC,SC
CAPPEL2,293,Ponte Cappello,MARN,Rio Marin,0,0,SC,SC
BERGAM,294,Ponte de la Bergama,MARN,Rio Marin,0,0,SC,SC
ZANDEG,295,Ponte S. Zan Degol‡,DEGO,Rio de S. Zan Degol‡,0,0,SC,SC
SAVIO,296,Ponte del Savio,DEGO,Rio de S. Zan Degol‡,0,0,SC,SC
RUGVEC,297,Ponte de Ruga Vechia,DEGO,Rio de S. Zan Degol‡,0,0,SC,SC
RUGBEL,298,Ponte de Ruga Bella o del Forner,DEGO,Rio de S. Zan Degol‡,0,0,SC,SC
OCHE,300,Ponte de le Oche,DEGO,Rio de S. Zan Degol‡,0,0,SC,SC
PARUCH,301,Ponte del Parucheta,GIAC2,Rio de S. Giacomo dell'Orio,0,0,SP,SP
BOLDO,302,Ponte S. Boldo,GIAC2,Rio de S. Giacomo dell'Orio,0,0,SP,SP
STORT3,303,Ponte Storto,BOLD1,Rio de S. Boldo,0,0,SP,SP
MODENA,304,Ponte del Modena,BOLD1,Rio de S. Boldo,0,0,SP,SP
FORNER2,305,Ponte del Forner,BOLD3,Rio de S. Boldo,0,0,SC,SC
COLOMB,306,Ponte del Colombo,MEGI2,Rio del Megio,0,0,SC,SC
MEGIO,307,Ponte del Megio,MEGI1,Rio del Megio,0,0,SC,SC
TENTOR,308,Ponte del Tentor,TRON,Rio de Ca' Tron,0,0,SC,SC
MOCE_P3,309,Ponte privato v‡ al civico 1903,MOCE,Rio Mocenigo o de la Rioda o de S. Stae,0,0,SC,SC
RIODA,310,Ponte de la Rioda,MOCE,Rio Mocenigo o de la Rioda o de S. Stae,0,0,SC,SC
MOCE_P2,311,Ponte privato v‡ al civico 2062,MOCE,Rio Mocenigo o de la Rioda o de S. Stae,0,0,SC,SC
MOCE_P1,312,Ponte Privato v‡ al civico 2069,MOCE,Rio Mocenigo o de la Rioda o de S. Stae,0,0,SC,SC
GIOVAN,313,Ponte Giovanelli,MOCE,Rio Mocenigo o de la Rioda o de S. Stae,0,0,SC,SC
CRIST2,314,Ponte del Cristo o del Tentor,PERG,Rio de la Pergola o de Ca' Pesaro,0,0,SC,SC
FORNER,315,Ponte del Forner,PERG,Rio de la Pergola o de Ca' Pesaro,0,0,SC,SC
PESARO,316,Ponte de Ca' Pesaro,PERG,Rio de la Pergola o de Ca' Pesaro,0,0,SC,SC
AGNELA,317,Ponte de l'Agnella,TORR1,Rio de S.Maria Mater Domini,0,0,SC,SC
MATERD,318,Ponte S.M.Mater Domini,TORR1,Rio de S.Maria Mater Domini,0,0,SC,SC
RAVANO,319,Ponte del Ravano,TORR1,Rio de S.Maria Mater Domini,0,0,SC,SC
TETTE,321,Ponte de le Tette,CASS1,Rio de S. Cassan,0,0,SP,SP
GCROCE,322,Ponte G.Andrea della Croce,CASS1,Rio de S. Cassan,0,0,SP,SP
CASS1_P1,323,Ponte v‡ al civico 2347,CASS1,Rio de S. Cassan,0,0,SP,SP
CHIESA,324,Ponte de la Chiesa,CASS1,Rio de S. Cassan,0,0,SP,SP
PESCAR,325,Ponte de la Pescaria,BECA1,Rio de le Becarie,0,0,SP,SP
BECA1_P1,326,Ponte Privato v‡ al civico 1680,BECA1,Rio de le Becarie,0,0,SP,SP
BECARI,327,Ponte de le Becarie,BECA1,Rio de le Becarie,0,0,SP,SP
2SPADE,328,Ponte de le Do Spade,BECA1,Rio de le Becarie,0,0,SP,SP
RASPI,329,Ponte Raspi o Sansoni,BECA1,Rio de le Becarie,0,0,SP,SP
STORT1,330,Ponte Storto,BECA2,Rio de S. Aponal,0,0,SP,SP
FURATO,331,Ponte de la Furatola,BECA3,Rio de S. Aponal,0,0,SP,SP
MELONI,332,Ponte dei Meloni,,Rio dei Meloni,0,0,SP,SP
CAVALLI,333,Ponte Cavalli,MADO3,Rio della Madonnetta,0,0,SP,SP
MADONT,334,Ponte de la Madoneta,MADO3,Rio della Madonnetta,0,0,SP,SP
BERNAR,335,Ponte de Ca' Bernardo,TORR3,Rio de le Do Torre,0,0,SP,SP
CADONA,337,Ponte de Ca' Dona,AGOS,Rio de S. Agostin,0,0,SP,SP
POLO,338,Ponte S.Polo,POLO2,Rio de S. Polo,0,0,SP,SP
ERBE_P1,339,Ponte privato v‡ al civico 2033,ERBE,Rielo de le Erbe,0,0,SP,SP
TRAGHE,340,Ponte del Traghetto,FRAR6,Rio de S. Tom‡,0,0,SP,SP
TOMA,341,Ponte S.Tom‡,FRAR6,Rio de S. Tom‡,0,0,SP,SP
FRAR5_P3,342,Ponte Privato v‡ al civico 2816,FRAR6,Rio de S. Tom‡,0,0,SP,SP
FRAR5_P2,343,Ponte Privato v‡ al civico 2826,FRAR6,Rio de S. Tom‡,0,0,SP,SP
FRAR5_P1,344,Ponte Privato v‡ al civico 2705,FRAR5,Rio de S. Tom‡,0,0,SP,SP
FRAR3_P1,345,Pont Privato v‡ al civico 2597,FRAR4,Rio dei Frari,0,0,SP,SP
FRARI,346,Ponte dei Frari,FRAR3,Rio dei Frari,0,0,SP,SP
STIN,347,Ponte S.Stin,FRAR2,Rio de S. Stin,0,0,SP,SP
FRESCA,348,Ponte de la Frescada,FRES,Rio de la Frescada,0,0,SP,SP
DONESTA,349,Ponte de la Dona Onesta,FRES,Rio de la Frescada,0,0,SP,SP
FRES_P1,350,Ponte Privato v‡ al civico 3945,FRES,Rio de la Frescada,0,0,SP,SP
FRES_P2,351,Ponte Privato v‡ al civico 3945,FRES,Rio de la Frescada,0,0,SP,SP
ROCCO,352,Ponte de S. Rocco,FRES,Rio de la Frescada,0,0,SP,SP
SCUOLA,353,Ponte de la Scuola,FRES,Rio de la Frescada,0,0,SP,SP
FOSCARI,354,Ponte Foscari,CAFO,Rio de Ca' Foscari,0,0,DD,DD
MARGAR,355,Ponte de S. Margarita,CAFO,Rio de Ca' Foscari,0,0,DD,DD
SBIACA,356,Ponte de la Sbiaca,NUOV4,Rio Novo,0,0,DD,DD
CERARIA,357,Ponte de la Ceraria,NUOV3,Rio Novo,0,0,DD,DD
MARCEL,358,Ponte de Ca' Marcello,GAFF,Rio del Gaffaro e del Malcanton,0,0,SC,SC
GAFFAR,359,Ponte del Gaffaro,TOLE,Rio del Gaffaro e del Malcanton,0,0,SC,SC
SQUART,360,Ponte dei Squartai,TOLE,Rio del Magazen,0,0,SC,SC
ZUCCAT,361,Ponte Zuccato,MAGA,Rio del Magazen,0,0,SC,SC
MART4_P1,362,Ponte Privato Soc. Veneziana Gas,MART4,Rio de l'Arzere e de S. Marta,0,0,SC,SC
MARTA,363,Ponti de S.Marta,ARZE,Rio de le Terese,0,0,DD,DD
NICOLO,365,Ponte S.Nicol√≤,NICO01,Rio de S. Nicol√≤ dei Mendicoli,0,0,DD,DD
MARITT,366,Ponte del Racc.Autom. della Maritti,SCOM,Canal de la Scomenzera,0,0,SC,SC
SMMAGG,368,Ponte S. Maria Maggiore,SMAR3,Rio de S. Maria Maggior,0,0,SC,SC
RIZZI,369,Ponte de Ca' Rizzi,CAZZ,Rio de la Cazziola e de Ca' Rizzi,0,0,SC,SC
PAGAN,370,Ponte del Pagan,TREP1,Rio Novo,0,0,SC,SC
TREP3_P1,371,Ponte Privato Unit‡ Santaria Locale,TREP3,Rio dei Tre Ponti,0,0,DD,DD
RAGUSE,372,Ponte dei Ragusei,TREP4,Rio del Tentor,0,0,DD,DD
ROSSO,373,Ponte Rosso,TREP4,Rio del Tentor,0,0,DD,DD
TENT_P1,374,Ponte Privato privo di n. civ,TENT,Rio del Tentor,0,0,DD,DD
GUARDI,375,Ponte dei Guardiani,TENT,Rio del Tentor,0,0,DD,DD
STORT7,377,Ponte Storto,TENT,Rio del Tentor,0,0,DD,DD
MADONA,378,Ponte de la Madona,TENT,Rio del Tentor,0,0,DD,DD
BRIATI,379,Ponte Briati,BRIA,Rio Briati,0,0,DD,DD
PIOVA,380,Ponte de la Piova,RAFF,Rio de l'Anzolo Rafael,0,0,DD,DD
SOCCOR,382,Ponte del Soccorso,CARM,Rio dei Carmini,0,0,DD,DD
FOSCRNI,383,Ponte Foscarini,MARG,Rio de S. Margherita,0,0,DD,DD
CAVENEL,384,Ponte su cavana dell'ENEL,MARG,Rio de S. Margherita,0,0,DD,DD
FORNO,385,Ponte del Forno,MARG,Rio de S. Margherita,0,0,DD,DD
RENIER,386,Ponte Renier,MARG,Rio de S. Margherita,0,0,DD,DD
MADDAL,387,Ponte de la Maddalena,SEBA,Rio de S. Sebastian e S. Basegio,0,0,DD,DD
SEBAST,388,Ponte S. Sebastian,SEBA,Rio de S. Sebastian e S. Basegio,0,0,DD,DD
BASEGI,389,Ponte S. Basegio,SEBA,Rio de S. Sebastian e S. Basegio,0,0,DD,DD
MOLIN,390,Ponte Molin,SEBA,Rio de S. Sebastian e S. Basegio,0,0,DD,DD
BARNAB,391,Ponte S.Barnaba,BARN1,Rio de S. Barnaba,0,0,DD,DD
PUGNI,392,Ponte dei Pugni,BARN1,Rio de S. Barnaba,0,0,DD,DD
PAZIEN,393,Ponte de le Pazienze,BARN3,Rio de l'Avogaria,0,0,DD,DD
AVOGAR,394,Ponte de l'Avogaria,BARN3,Rio de l'Avogaria,0,0,DD,DD
SARTRO,395,Ponte Sartorio,AVOG,Rio dei Ognisanti,0,0,DD,DD
AVOG_P1,396,Ponte Privato v‡ al civico 146,AVOG,Rio dei Ognisanti,0,0,DD,DD
CORTEL,397,Ponte Cortelotto,AVOG,Rio dei Ognisanti,0,0,DD,DD
CANAL,398,Ponte Canal,ZUAN,Rio de le Muneghete,0,0,SP,SP
TREVIS,399,Ponte Trevisan,OGNI2,Rio dei Ognisanti,0,0,DD,DD
SCOAZZ,400,Ponte de la Scoazzera,OGNI2,Rio dei Ognisanti,0,0,DD,DD
MALPAG,401,Ponte del Malpaga,MALP1,Rio del Malpaga,0,0,DD,DD
LOMBAR,402,Ponte Lombardo,MALP1,Rio de la Toletta,0,0,DD,DD
TURCHE,403,Ponte de leTurchette,MALP2,Rio del Malpaga,0,0,DD,DD
OGNISS,404,Ponte Ognissant,MALP3,Rio del Malpaga,0,0,DD,DD
ROMITE,405,Ponte de le Romite,ROMI,Rio de le Romite,0,0,DD,DD
BORGO,406,Ponte de Borgo,ROMI,Rio de le Romite,0,0,DD,DD
SQUERO,407,Ponte del Squero,TOLA1,Rio de la Toletta,0,0,DD,DD
TOLETT,408,Ponte de la Toletta,TOLA2,Rio de la Toletta,0,0,DD,DD
MARAVE,409,Ponte de le Maravegie,TROV1,Rio de S. Trovaso,0,0,DD,DD
TROVAS,410,Ponte S.Trovaso,TROV1,Rio de S. Trovaso,0,0,DD,DD
LUNGO,411,Ponte Lungo,GIUD7,Rio de S. Trovaso,0,0,DD,DD
CALCINA,412,Ponte de la Calcina,GIUD8,Rio de S. Vio,0,0,DD,DD
MEZZO,413,Ponte de Mezzo,VIO,Rio de S. Vio,0,0,DD,DD
SANVIO,414,Ponte de S.Vio,VIO,Rio de S. Vio,0,0,DD,DD
CINI_P1,415,Ponte Privato v‡ al civico 732,VIO,Rio de S. Vio,0,0,DD,DD
CRISTOF2,416,Ponte S.Cristofolo,TORE,Rio de le Toresele,0,0,DD,DD
FORMAG,417,Ponte del Formager,TORE,Rio de le Toresele,0,0,DD,DD
INCURA,418,Ponte ai Incurabili,GIUD9,Rio de le Toresele,0,0,DD,DD
CABALA,419,Ponte C‡ Bal‡,GIUD11,Rio de la Fornasa,0,0,DD,DD
SANTI,420,Ponte de Mezzo o Santi,FORN,Rio de la Fornasa,0,0,DD,DD
GREGOR,421,Ponte S.Gregorio,FORN,Rio de la Fornasa,0,0,DD,DD
ABAZIA,422,Ponte de l'Abazia,SALU,Rio de la Salute,0,0,DD,DD
SALU_P1,423,Ponte Privato V‡ al civico 170,SALU,Rio de la Salute,0,0,DD,DD
SALUTE,424,Ponte de la Salute,SALU,Rio de la Salute,0,0,DD,DD
UMILTA,425,Ponte de l'Umiltr‡,GIUD11,Rio de la Salute,0,0,DD,DD
INCENER,426,Ponte de l'Inceneritore (Privato),SACB2,Rio de Sacca San Biagio,120,108,GD,GD
BIAGIO,427,Ponte senza Nome,SACF1,Sacca Fisola,107,108,GD,GD
GERAR,428,Ponte S. Gerardo,SACF2,Sacca Fisola,107,109,GD,GD
LAVRA,429,Ponte dei Lavraneri,LAVR,Rio dei Lavraneri,107,111,GD,GD
SCURO,430,Ponte del Lago Scuro,BIAG1,Rio de San Biagio,111,113,GD,GD
CONVERT,431,Ponte de le Convertite,CONV,Rio delle Convertite,112,113,GD,GD
EUFEMIA,432,Ponte S. Eufemia,EUFE2,Rio de S. Eufemia,112,114,GD,GD
EUFE_P1,433,Ponte Privato va al civico 681,EUFE2,Rio de S. Eufemia,112,114,GD,GD
COSMO,434,Ponte S. Cosmo o Lagoscuro,EUFE1,Rio de S. Eufemia,113,114,GD,GD
PICCOLO,435,Ponte Piccolo,PPIC3,Rio del Ponte Piccolo,114,115,GD,GD
SCUOLE,437,Ponte de le Scuole,PPIC2,Rio del Ponte Piccolo,114,116,GD,GD
PALADA,438,Ponte de la Palada,PALA,Rio della Palada,115,116,GD,GD
ANGELO,439,Ponte S. Angelo,PALA,Rio della Palada,115,116,GD,GD
LONGO,440,Ponte Longo,PLON2,Rio del Ponte Longo,115,117,GD,GD
CROC_P1,441,Ponte Privato va al civico 158,CROC,Rio della Croce,117,118,GD,GD
CROZE2,442,Ponte de la Croze,CROC,Rio della Croce,117,118,GD,GD
GIORGIO,443,Ponte privato - Passerella girevole,DGIO,Darsena S. Giorgio,119,119,GD,GD
CREA,444,Ponte Novo de la Crea,CREA1,Rio de la Crea,123,20,CN,CN
STADIO1,445,Ponte Nuovo dello Stadio,ELEN,Rio de S. Elena,106,105,CS,CS
OSPIZIO,446,Ponte Novo de l'Ospizio Da Ponte,CREA1,Rio de la Crea,123,20,CN,CN
