id,id_rio,Y,X
2TOR01,2TOR,45.4387999,12.3299143
2TOR02,2TOR,45.4386272,12.3294686
ACCA01,GRAN,45.4316818,12.3281927
ACCA02,GRAN,45.4313515,12.3289187
ACQU01,ACQU,45.442564,12.3370554
ACQU02,ACQU,45.4420807,12.3367417
ACQU03,ACQU,45.4416884,12.3364909
AGOS01,AGOS,45.4384343,12.3279461
ALBO01,ALBO,45.4323214,12.3335197
ALVI01,ALVI,45.4475412,12.3271937
AMAL01,AMAL,45.4373939,12.3286287
ANA001,ANA,45.4326678,12.35779
ANA002,ANA,45.4325355,12.356622
ANA003,ANA,45.4324908,12.3556905
ANDR01,ANDR,45.4425217,12.335899
ANDR02,ANDR,45.4423477,12.3365832
ANTO01,ANTO,45.4366794,12.3458552
ANZO01,ANZO,45.43417,12.3315209
ANZO02,ANZO,45.4337561,12.3319486
APON01,APON,45.4380685,12.3315379
APON02,APON,45.4378066,12.3310074
APOS01,APOS,45.4416695,12.3389741
APOS02,APOS,45.4412185,12.3388648
APOS03,APOS,45.4405159,12.3382787
APOS04,APOS,45.4400826,12.3366178
ARSE01,ARSE,45.4336208,12.3498566
ARZE01,ARZE,45.4372717,12.3150731
ARZE02,ARZE,45.4364679,12.3154496
ARZE03,ARZE,45.4359575,12.3159125
ARZE04,ARZE,45.435284,12.3161603
AVOG01,AVOG,45.432578,12.321994
BACI01,BACI,45.4305261,12.3397509
BACI02,BACI,45.431703,12.3401616
BACI03,BACI,45.4321265,12.341133
BACI04,BACI,45.4321955,12.342368
BACI05,BACI,45.4318866,12.3445329
BACI06,BACI,45.4325977,12.3457384
BACI07,BACI,45.4325113,12.3469064
BACI08,BACI,45.4320757,12.3482181
BACI09,BACI,45.4313956,12.3490014
BACI10,BACI,45.4302487,12.3513689
BACI11,BACI,45.4281287,12.354951
BACI12,BACI,45.4254519,12.3579805
BACI13,BACI,45.4224919,12.3604321
BACI14,BACI,45.4224485,12.3655028
BACI15,BACI,45.422216,12.368767
BACI16,BACI,45.4241162,12.3711846
BARC01,BARC,45.4346545,12.3343168
BARC02,BARC,45.4341054,12.3347924
BARE01,BARE,45.4361027,12.3376157
BARE02,BARE,45.4357305,12.3371608
BARN01,BARN,45.4333025,12.3256269
BARN02,BARN,45.4330803,12.3236662
BATE01,BATE,45.4460392,12.3231644
BATE02,BATE,45.4456759,12.3263209
BECA01,BECA,45.4391448,12.3329512
BECA02,BECA,45.4382812,12.3318138
BERN01,BERN,45.4383571,12.329464
BIAG01,BIAG,45.4275068,12.3201073
BIAG02,BIAG,45.4258819,12.3191764
BOLD01,BOLD,45.4396361,12.328793
BOLD02,BOLD,45.4394513,12.3291329
BOLD03,BOLD,45.4391042,12.32968
BOTE01,BOTE,45.4354439,12.3209813
BRAZ01,BRAS,45.4457856,12.3318171
BRIA01,BRIA,45.4341927,12.3205392
BUCI01,BUCI,45.4353547,12.3510297
BURC01,BURC,45.4366613,12.3179565
CAFO01,CAFO,45.4354815,12.3237254
CAFO02,CAFO,45.4349494,12.3255299
CALA01,CALA,45.4456757,12.3170333
CALA02,CALA,45.4435607,12.3158272
CALA03,CALA,45.4426307,12.3142972
CANN01,CANN,45.4463114,12.3195191
CANN02,CANN,45.4453877,12.3211033
CANN03,CANN,45.4445286,12.3236284
CANN04,CANN,45.4430636,12.3258678
CANO01,CANO,45.4346114,12.3406735
CARM01,CARM,45.4333445,12.3202593
CASS01,CASS,45.4396344,12.3316922
CASS02,CASS,45.4384947,12.3306018
CATE01,CATE,45.4433505,12.3357312
CATE02,CATE,45.4430582,12.3366398
CATE03,CATE,45.4426378,12.3382178
CAZZ01,CAZZ,45.4357461,12.3190556
CELE01,CELE,45.4384503,12.3498719
CHIA01,CHIA,45.4393684,12.316539
CHIA02,CHIA,45.4383079,12.3151707
CINI01,CINI,45.4264839,12.3432438
CMIS01,CMIS,45.4447486,12.3364259
CMIS02,CMIS,45.4438743,12.3356291
CMIS03,CMIS,45.4433473,12.3350627
CONV01,CONV,45.4263911,12.3213989
CORN01,CORN,45.4350012,12.3313247
CREA01,CREA,45.4439869,12.3208131
CREA02,CREA,45.4431078,12.3190993
CREA03,CREA,45.4440863,12.3175915
CROC01,CROC,45.4243411,12.3335266
DANI01,DANI,45.4338248,12.356916
DEGO01,DEGO,45.4416576,12.3273744
DEGO02,DEGO,45.4409719,12.3272317
DEGO03,DEGO,45.4407721,12.327161
DEGO04,DEGO,45.4398229,12.3270713
DELE01,DELE,45.430118,12.3638671
DGIO01,DGIO,45.4297592,12.344712
DIO001,DIO,45.4339654,12.3484587
DNUO01,DNUO,45.436005,12.3544217
DOMI01,DOMI,45.44002,12.3310003
DUCA01,DUCA,45.4327274,12.3292218
ELEN01,ELEN,45.4267636,12.3633736
ERBE01,ERBE,45.4365804,12.3301413
EUFE01,EUFE,45.4266357,12.3232311
EUFE02,EUFE,45.4248738,12.3224884
FAVA01,FAVA,45.4381808,12.337787
FAVA02,FAVA,45.4371831,12.3376949
FELI01,FELI,45.4427659,12.3346379
FELI02,FELI,45.4417962,12.3336763
FERA01,FERA,45.435647,12.3374759
FERA02,FERA,45.4352626,12.3381499
FIS001,1FIS,45.4259413,12.3129771
FIS002,2FIS,45.425946,12.3145506
FNUO01,FNUO,45.4496145,12.3276356
FNUO02,FNUO,45.4474706,12.334048
FNUO03,FNUO,45.4458305,12.337133
FNUO04,FNUO,45.4448204,12.3383522
FNUO05,FNUO,45.4438561,12.3399258
FNUO06,FNUO,45.4431643,12.3409579
FNUO07,FNUO,45.4423944,12.3422743
FNUO08,FNUO,45.4411184,12.3446037
FNUO09,FNUO,45.4394701,12.3483158
FNUO10,FNUO,45.4390714,12.3510595
FNUO11,FNUO,45.4400119,12.3587473
FORM01,FORM,45.436903,12.3415912
FORN01,FORN,45.430499,12.3326264
FORN02,FORN,45.4292153,12.332775
FOSC01,FOSC,45.4435212,12.3317544
FOSC02,FOSC,45.443034,12.3325926
FRAR01,FRAR,45.4372361,12.3272457
FRAR02,FRAR,45.4368254,12.3277539
FRES01,FRES,45.4358343,12.3262501
FUSE01,FUSE,45.4347102,12.3353309
GAFF01,GAFF,45.4364302,12.3224993
GALE01,GALE,45.4369595,12.3511009
GALE02,GALE,45.4352453,12.3501901
GARZ01,GARZ,45.4348625,12.3304791
GERO01,GERO,45.4346559,12.3558427
GESU01,GESU,45.4430019,12.3394723
GESU02,GESU,45.4421659,12.3391258
GHET01,GHET,45.4451068,12.32699
GIAR01,GIAR,45.4317018,12.3591791
GIAR02,GIAR,45.4308891,12.3593311
GIAR03,GIAR,45.4291379,12.3592993
GIOB01,GIOB,45.4448391,12.3194485
GIOR01,GIOR,45.4277701,12.3422134
GIOR02,GIOR,45.425999,12.3418684
GIRO01,GIRO,45.4465234,12.3241666
GIUD01,GIUD,45.4298786,12.3133908
GIUD02,GIUD,45.4300227,12.316806
GIUD03,GIUD,45.4297311,12.3190988
GIUD04,GIUD,45.4296638,12.320626
GIUD05,GIUD,45.4289688,12.3225402
GIUD06,GIUD,45.4283709,12.324542
GIUD07,GIUD,45.4279692,12.3262754
GIUD08,GIUD,45.4275237,12.3278602
GIUD09,GIUD,45.4273798,12.3288202
GIUD10,GIUD,45.4269394,12.3312628
GIUD11,GIUD,45.4272948,12.3350347
GIUD12,GIUD,45.4288139,12.3380539
GIUS01,GIUS,45.4389574,12.3459418
GORN01,GORN,45.4362663,12.3495459
GOZZ01,GOZZ,45.4421126,12.3380177
GRAN01,GRAN,45.4413632,12.3168918
GRAN02,GRAN,45.439427,12.3188053
GRAN03,GRAN,45.4390906,12.3202294
GRAN04,GRAN,45.4403561,12.321726
GRAN05,GRAN,45.4414956,12.3236168
GRAN06,GRAN,45.4420472,12.3253301
GRAN07,GRAN,45.4423953,12.3268741
GRAN08,GRAN,45.4423929,12.3282508
GRAN09,GRAN,45.4422492,12.3294788
GRAN10,GRAN,45.4419832,12.3305841
GRAN11,GRAN,45.4416385,12.3316003
GRAN12,GRAN,45.4413724,12.332073
GRAN13,GRAN,45.4410766,12.3325234
GRAN14,GRAN,45.4405276,12.3334846
GRAN15,GRAN,45.4400001,12.3347907
GRAN16,GRAN,45.4395539,12.3355512
GRAN17,GRAN,45.4390254,12.3359768
GRAN18,GRAN,45.4378411,12.3356449
GRAN19,GRAN,45.4371471,12.3345634
GRAN20,GRAN,45.4366879,12.3333341
GRAN21,GRAN,45.4362335,12.3318586
GRAN22,GRAN,45.4360258,12.3309112
GRAN23,GRAN,45.4358499,12.3303645
GRAN24,GRAN,45.4357138,12.3298186
GRAN25,GRAN,45.4354329,12.3290637
GRAN26,GRAN,45.435144,12.3281107
GRAN27,GRAN,45.4348436,12.3274866
GRAN28,GRAN,45.4340964,12.3272206
GRAN29,GRAN,45.4332373,12.3274049
GRAN30,GRAN,45.4327266,12.3276231
GRAN31,GRAN,45.4321562,12.3280615
GRAN32,GRAN,45.4318598,12.32857
GRAN33,GRAN,45.4316861,12.328888
GRAN34,GRAN,45.4315409,12.3293363
GRAN35,GRAN,45.4313806,12.3299918
GRAN36,GRAN,45.4312329,12.3312196
GRAN37,GRAN,45.4312488,12.3322933
GRAN38,GRAN,45.4312939,12.3330629
GRAN39,GRAN,45.4313432,12.3338814
GRAN40,GRAN,45.4314658,12.3351825
GRAN41,GRAN,45.4315328,12.336507
GREC01,GREC,45.434728,12.344417
GRIM01,GRIM,45.4440955,12.3321912
GRIM02,GRIM,45.4437593,12.3319117
GRIS01,GRIS,45.4394892,12.3370339
GRIS02,GRIS,45.4391127,12.3381579
GUER01,GUER,45.4420114,12.3360358
ISEP01,ISEP,45.4307789,12.3575184
ISEP02,ISEP,45.4302514,12.3550446
LATE01,LATE,45.4381821,12.3433808
LATE02,LATE,45.4378542,12.3450629
LAVR01,LAVR,45.4273196,12.3177978
LIO001,LIO,45.438616,12.338212
LORE01,LORE,45.4376839,12.3444136
LORE02,LORE,45.4365882,12.344383
LUCA01,LUCA,45.4356903,12.3333881
LUCA02,LUCA,45.4350362,12.3339354
LUCA03,LUCA,45.4348608,12.3340735
LUNA01,LUNA,45.4327571,12.3374651
LUST01,LUST,45.4454201,12.3301808
MADA01,MADA,45.4433526,12.3316926
MADA02,MADA,45.4426595,12.3316048
MADO01,MADO,45.4384999,12.3300888
MADO02,MADO,45.4379802,12.3305998
MADO03,MADO,45.4370752,12.330833
MAGA01,MAGA,45.4370793,12.3205872
MAGG01,MAGG,45.4352863,12.3193021
MAGG02,MAGG,45.4349764,12.3177168
MAGG03,MAGG,45.4347768,12.3167451
MALP01,MALP,45.432801,12.3261651
MALP02,MALP,45.4324546,12.3248335
MALP03,MALP,45.4322848,12.3241682
MALP04,MALP,45.4319926,12.3228757
MARC01,MARC,45.4439043,12.3298986
MARC02,MARC,45.4433527,12.3295187
MARC03,MARC,45.4427606,12.3292072
MARG01,MARG,45.4343539,12.3224312
MARI01,MARI,45.4388338,12.3392307
MARI02,MARI,45.4386735,12.3399426
MARI03,MARI,45.4385883,12.3403547
MARI04,MARI,45.4384981,12.3408214
MARN01,MARN,45.4400119,12.32456
MAUR01,MAUR,45.4325848,12.332167
MEGI01,MEGI,45.4413782,12.328732
MEGI02,MEGI,45.4401984,12.3287581
MEGI03,MEGI,45.4397111,12.3284765
MELO01,MELO,45.4372576,12.3318262
MEND01,MEND,45.4404271,12.3416526
MICH01,MICH,45.4353877,12.3315898
MIRA01,MIRA,45.4394249,12.3390903
MISE01,MISE,45.445759,12.3270874
MISE02,MISE,45.4454458,12.3283658
MISE03,MISE,45.4451849,12.329465
MISE04,MISE,45.4450016,12.330141
MISE05,MISE,45.4447043,12.3312
MISE06,MISE,45.4437309,12.3333269
MOCE01,MOCE,45.4406097,12.3301615
MOIS01,MOIS,45.4329206,12.3355499
MOND01,MOND,45.4376402,12.3398568
MOND02,MOND,45.4370144,12.3404778
MOND03,MOND,45.4362025,12.3403731
MORO01,MORO,45.4475793,12.3217223
MORT01,MORT,45.4243728,12.3250481
MRTI01,MRTI,45.434872,12.3487988
MRTI02,MRTI,45.4348393,12.3495064
MUNE01,MUNE,45.4376093,12.3235435
MUTI01,MUTI,45.4449534,12.3336996
NAVI01,NAVI,45.4405216,12.3660818
NAVI02,NAVI,45.437813,12.3641652
NAVI03,NAVI,45.4360638,12.3614372
NAVI04,NAVI,45.4347397,12.3631169
NAVI05,NAVI,45.4329651,12.3641697
NAVI06,NAVI,45.4309308,12.3661331
NAVI07,NAVI,45.4292001,12.3692272
NICL04,NICL,45.4269328,12.3743953
NICO01,NICO,45.4326001,12.3157899
NICO02,NICO,45.4315615,12.3156299
NOAL01,NOAL,45.4431341,12.3345991
NOAL02,NOAL,45.4429466,12.3341016
NOAL03,NOAL,45.4427389,12.3336598
NOAL04,NOAL,45.4421507,12.3328301
NOVO01,NOVO,45.4379095,12.3199861
NOVO02,NOVO,45.4367646,12.3201393
NOVO03,NOVO,45.436383,12.320287
NOVO04,NOVO,45.4358069,12.3217363
OGNI01,OGNI,45.4313129,12.3224938
OGNI02,OGNI,45.430833,12.3239411
OGNI03,OGNI,45.4304482,12.3250265
ORIO01,ORIO,45.4394467,12.3283185
ORIO02,ORIO,45.4391278,12.3278681
ORIO03,ORIO,45.4388888,12.3267994
ORSE01,ORSE,45.4344333,12.3366547
ORSO01,ORSO,45.4320678,12.3299091
ORTO01,ORTO,45.4463919,12.3310512
ORTO02,ORTO,45.4456955,12.3331629
ORTO03,ORTO,45.4451698,12.3342208
PALA01,PALA,45.4248685,12.3273117
PANA01,PANA,45.4418381,12.3413589
PANA02,PANA,45.4405208,12.3405094
PANA03,PANA,45.4391589,12.3398407
PANT01,PANT,45.4360509,12.3243917
PERG01,PERG,45.4402933,12.3304306
PEST01,PEST,45.4384044,12.3416603
PEST02,PEST,45.4379928,12.3405836
PIER01,PIER,45.4351446,12.3588619
PIER02,PIER,45.4338172,12.3582578
PIER03,PIER,45.4324408,12.3587633
PIET01,PIET,45.4346677,12.3456789
PIOM01,PIOM,45.4382113,12.3398911
PIOM02,PIOM,45.4378781,12.338744
PLON01,PLON,45.4253117,12.3288181
PLON02,PLON,45.4240319,12.3280731
POLO01,POLO,45.4382341,12.3287951
POLO02,POLO,45.4376945,12.3286474
POLO03,POLO,45.4370433,12.3289997
POLO04,POLO,45.4363759,12.3294188
POLO05,POLO,45.4361274,12.3298669
PPIC01,PPIC,45.4256585,12.3265393
PPIC02,PPIC,45.4246447,12.3259362
PPIC03,PPIC,45.4239131,12.3250899
PRIU01,PRIU,45.4422731,12.3345391
PRIU02,PRIU,45.4418828,12.3353004
PRIU03,PRIU,45.4415646,12.3360761
PROC01,PROC,45.4344584,12.3377026
PROV01,PROV,45.4356922,12.3437921
PROV02,PROV,45.4355537,12.3430866
QUIN01,QUIN,45.432671,12.3607176
RACH01,RACH,45.4429561,12.3357532
RACH02,RACH,45.4424008,12.3351209
RAFF01,RAFF,45.4326049,12.3181675
RAFF02,RAFF,45.4321819,12.3162751
REAL01,LUNA,45.4332264,12.3381104
ROMI01,ROMI,45.4315411,12.3245896
SACB01,SACB,45.4276404,12.3117561
SACB02,SACB,45.4263634,12.3109861
SACF01,SACF,45.4268422,12.3122064
SACF02,SACF,45.4265854,12.3135284
SACF03,SACF,45.4262317,12.3155823
SACM01,SACM,45.4447231,12.3352016
SALU01,SALU,45.4306583,12.3342903
SALU02,SALU,45.4298509,12.33459
SALV01,SALV,45.4363468,12.336116
SANT01,SANT,45.4327891,12.3310782
SCOA01,SCOA,45.4354154,12.336482
SCOA02,SCOA,45.4350339,12.3361178
SCOM01,SCOM,45.4354878,12.3126091
SCOM02,SCOM,45.4325267,12.3101089
SCUD01,SCUD,45.436214,12.3481688
SCUD02,SCUD,45.4350639,12.3483428
SEBA01,SEBA,45.4318982,12.320337
SECO01,SECO,45.4473419,12.3179993
SECO02,SECO,45.448211,12.3199567
SECO03,SECO,45.4489723,12.3228877
SENS01,SENS,45.4475396,12.3248345
SENS02,SENS,45.4464029,12.3281389
SENS03,SENS,45.4459004,12.329931
SENS04,SENS,45.445641,12.3309146
SENS05,SENS,45.445131,12.3324162
SENS06,SENS,45.4441154,12.3341844
SERV01,SERV,45.4445124,12.3301929
SERV02,SERV,45.4438465,12.3309134
SEVE01,SEVE,45.4377161,12.3425512
SEVE02,SEVE,45.4366047,12.3428954
STIN01,STIN,45.4377048,12.3276197
TANA01,TANA,45.432784,12.3558897
TANA02,TANA,45.4329593,12.3530109
TANA03,TANA,45.4319978,12.3505866
TEDE01,TEDE,45.4384347,12.337165
TENT01,TENT,45.4349325,12.3202964
TENT02,TENT,45.4345102,12.3184532
TERE01,TERE,45.4343209,12.3164034
TERE02,TERE,45.4336104,12.3168682
TETT01,TETT,45.4381707,12.3424042
TETT02,TETT,45.4377418,12.3434498
TOLA01,TOLA,45.4322537,12.3254034
TOLA02,TOLA,45.432273,12.3264483
TOLE01,TOLE,45.4381384,12.3212445
TOMA01,TOMA,45.4361025,12.3280733
TORE01,TORE,45.4298699,12.3307543
TRAP01,TRAP,45.4434374,12.3330031
TRAS01,TRAS,45.446379,12.3297053
TREP01,TREP,45.4361415,12.3202557
TREP02,TREP,45.4357788,12.3203648
TREP03,TREP,45.4353102,12.320509
TRNC01,TRNC,45.4387845,12.3067757
TRON01,TRON,45.4413299,12.3293308
TROV01,TROV,45.4323219,12.3273642
TROV02,TROV,45.431053,12.326577
TROV03,TROV,45.4298393,12.3257314
TRTE01,TRTE,45.4464056,12.3265744
VEMA05,VEMA,45.4328404,12.3032118
VEMA06,VEMA,45.4312243,12.3064974
VEMA06,VEMA,45.4299759,12.3098054
VERG01,VERG,45.4352769,12.3568989
VERG02,VERG,45.4349502,12.3576946
VERO01,VERO,45.4342573,12.3333948
VERO02,VERO,45.4335386,12.3324879
VEST01,VEST,45.4333852,12.3329516
VEST02,VEST,45.4332142,12.3333037
VEST03,VEST,45.4333882,12.3342183
VIGN01,VIGN,45.4376624,12.3476179
VIN001,VIN,45.4346028,12.3422965
VIO001,VIO,45.430016,12.3294443
WIDM01,WIDM,45.4405049,12.339249
WIDM02,WIDM,45.4399744,12.3395533
WIDM03,WIDM,45.4396597,12.3396866
ZANI01,ZANI,45.4359311,12.3416569
ZECA01,LUNA,45.4332134,12.3389799
ZECC01,ZECC,45.4474353,12.3304181
ZIRA01,ZIRA,45.437181,12.3195073
ZIRA02,ZIRA,45.4368856,12.3158064
ZOBE01,ZOBE,45.4324674,12.3325736
ZUAN01,ZUAN,45.4386543,12.3250456
ZULI01,ZULI,45.4361975,12.339165
