"!!id","!!type","larghezza media (m)","zoom","fondo cementificato","ID","ID del rio","ID intersezione Nord","larghezza minima (m)","superficie (m2)","ID intersezione Sud","Y","X","lunghezza (m)","jobs","jobItems"
"DEGO01","segmenti","6.5 m","152.484297847698","no","DEGO01","DEGO","II0240","4.4 m","748.506","II0340","5035510.81807495","2310984.58050312","115.44","[232/1, 00113, 00430, 00517, 00450]","[00113SC0002, 00113SC0006]"
"DEGO02","segmenti","7.1 m","52.3774431031874","no","DEGO02","DEGO","II0340","5.4 m","279.815","II0350","5035434.85107824","2310971.77427727","39.16","[232/1, 00113, 00430, 00517, 00450]","[00113SC0002, 00113SC0006]"
"DEGO03","segmenti","8.2 m","49.9999999999466","no","DEGO03","DEGO","II0350","7.4 m","61.5121","II0360","5035412.0099871","2310965.9772358","7.63","[232/1, 00113, 00430, 00517, 00450]","[00113SC0002, 00113SC0006]"
"DEGO04","segmenti","8.4 m","257.890006726601","no","DEGO04","DEGO","II0360","5.2 m","1736.88","II0475","5035311.56224302","2310964.03850604","207.21","[232/1, 00113, 00430, 00517, 00450]","[00113SC0001, 00113SC0002, 00113SC0006]"
"DEM101","segmenti","18.9 m","62.9956501053208","no","DEM101","DEM1","IE5190","17.3 m","740.586","","5028407.44981058","2311747.6991349","39.3","[]","[]"
"DEM201","segmenti","22.3 m","142.961225994295","no","DEM201","DEM2","IE5195","17.1 m","2594.86","","5028302.99774789","2311726.34479902","116.31","[]","[]"
"DEMU01","segmenti","11 m","182.100486786878","no","DEMU01","DEMU","IE5055","9.9 m","1437.62","II2005","5037610.74839942","2313198.75908022","131.12","[00417, 00230, 00232, 00433]","[]"
"DGIO01","segmenti","0 m","254.983613597496","no","DGIO01","DGIO","","15 m","10911.78","","5034137.69842787","2312292.40564154","0","[232/1, 00517]","[]"
"DIO001","segmenti","9 m","230.271029825077","no","DIO001","DIO","II0975","6 m","1719.14","IE1095","5034610.95226854","2312596.26418453","191.33","[00003, 00115, 00232]","[00003SC0026, 00115SC0002, 00115SC0007]"
"DNUO01","segmenti","0 m","654.667832321157","no","DNUO01","DNUO","IE0810","22.1 m","97425.56","II0930","5034811.91399344","2313144.24122489","0","[00232]","[]"
"DOMI01","segmenti","5.7 m","330.583687201074","no","DOMI01","DOMI","II0335","4 m","1606.47","II0485","5035315.15677289","2311261.0737053","282.98","[00003, 232/1, 00114, 00517, 00187, II509]","[00003SC0071, 00114SC0002, 00114SC0003, 00114SC0011]"
"DROM01","segmenti","32.4 m","315.453325968632","no","DROM01","DROM","II5050","10.5 m","12294.81","","5024850.91431401","2309930.1261871","378.9","[]","[]"
"DROM02","segmenti","23.4 m","241.449368660664","no","DROM02","DROM","IE5235","15.5 m","4181.29","II5050","5025060.52314318","2309781.56618756","178.5","[00109]","[]"
"DUCA01","segmenti","4.6 m","210.946179539566","no","DUCA01","DUCA","II1135","2.4 m","1561.83","II1210","5034503.02580853","2311085.09625195","337.62","[00003, 00108, 00232]","[00003SC0067, 00108SC0004]"
"ELEN01","segmenti","12.5 m","600.963459925389","no","ELEN01","ELEN","IE1395","9.4 m","5751.72","IE1530","5033760.62302317","2313750.99833126","459.93","[00003, 00232, 00445]","[00003SC0058]"
"ERBE01","segmenti","4.4 m","107.88804362953","no","ERBE01","ERBE","II0690","3.6 m","402.163","II0760","5034937.38630565","2311181.57461587","91.5","[232/1, 00102, 00517]","[00102SC0003, 00102SC0014]"
"EUFE01","segmenti","8.6 m","168.538234308085","no","EUFE01","EUFE","IE1405","7.6 m","1113.12","II1460","5033850.58247738","2310606.60595548","129.56","[232/1, 00154, 00517]","[00154SC0002, 00154SC0015]"
"EUFE02","segmenti","9 m","291.497722793747","no","EUFE02","EUFE","II1460","6.8 m","2055.94","IE1525","5033665.71920781","2310542.53166758","228.2","[232/1, 00154, 00420, 00429, 00517]","[00154SC0002, 00154SC0015, 00429SC0003]"
"FALB01","segmenti","26.6 m","384.356262684009","no","FALB01","FALB","","6.9 m","9579.69","","5024826.64838858","2309712.64538534","360.1","[00109]","[]"
"FAVA01","segmenti","7.1 m","50.0000000000062","no","FAVA01","FAVA","II0565","5.4 m","76.6548","II0585","5035096.67400108","2311787.64816347","10.92","[00103, 00232]","[00103SC0006]"
"FAVA02","segmenti","8.9 m","235.544988029983","no","FAVA02","FAVA","II0585","6.4 m","1711.91","II0740","5034995.20142093","2311777.37680895","192.52","[00103, 00232]","[00103SC0006, 00103SC0027, 00103SC0029]"
"FELI01","segmenti","8.7 m","114.140457002931","no","FELI01","FELI","II0190","5.4 m","847.321","II0250","5035618.03972577","2311560.6207135","97.7","[00003, 00112, 00232]","[00003SC0039, 00003SC0047, 00112SC0004, 00112SC0007, 00112SC0015]"
"FELI02","segmenti","6 m","190.244334494531","no","FELI02","FELI","II0250","4 m","985.174","II0355","5035506.46387737","2311477.83616219","163.26","[00112, 00232]","[00112SC0005, 00112SC0007, 00112SC0015]"
"FERA01","segmenti","5.1 m","49.9999999997615","no","FERA01","FERA","II0815","4.2 m","179.74","II0830","5034816.18204662","2311752.04918535","35.47","[00232]","[]"
"FERA02","segmenti","4.9 m","141.794972357832","no","FERA02","FERA","II0830","2.7 m","668.174","II0950","5034762.79122345","2311798.16571971","136.44","[00232]","[]"
"FIS001","segmenti","20 m","220.724461280765","no","FIS001","1FIS","II1410","12.6 m","3311.82","IE1475","5033803.29061317","2309805.51293611","165.75","[232/1, 00517]","[]"
"FIS002","segmenti","11.3 m","142.904777479249","no","FIS002","2FIS","II1425","4.4 m","1225.3","IE1465","5033800.75600869","2309923.09656792","108.37","[00346, 232/1, 00517]","[00346SC0002, 00346SC0004, 00346SC0012]"
"FORM01","segmenti","6.3 m","143.254629990439","no","FORM01","FORM","II0680","3.2 m","1042.09","II0755","5034944.90006979","2312082.39619346","164.58","[00103, 00232]","[00103SC0015, 00103SC0019, 00103SC0022, 00103SC0032, 00103SC0112, 00103SC0115, 00103SC0118]"
"FORN01","segmenti","4.7 m","136.819932678476","no","FORN01","FORN","II1280","3.4 m","489.257","II1320","5034255.76304689","2311355.11674729","104.28","[232/1, 00130, 00517]","[00130SC0001, 00130SC0004]"
"FORN02","segmenti","8.7 m","221.917055920593","no","FORN02","FORN","II1320","4.4 m","1468.94","IE1390","5034118.76152358","2311364.37706995","168.65","[232/1, 00130, 00517]","[00130SC0001, 00130SC0004]"
"FORT01","segmenti","11.3 m","545.639902420084","no","FORT01","FORT","II5020","6.5 m","7270.57","II5030","5027700.15149173","2311870.53885925","645.8","[]","[]"
"FORT02","segmenti","12.8 m","379.687206059686","no","FORT02","FORT","II5020","9.7 m","4565.29","II5030","5027717.85313777","2311815.44681171","357.87","[]","[]"
"FOSC01","segmenti","9.5 m","49.9999999999856","no","FOSC01","FOSC","II0160","9.2 m","78.2611","II0165","5035705.60969633","2311335.10326412","8.19","[00119, 00232]","[00119SC0002, 00119SC0004, 00119SC0012, 00119SC0015]"
"FOSC02","segmenti","10.6 m","133.365743791321","no","FOSC02","FOSC","II0165","7 m","1470.57","II0230","5035647.36473048","2311400.02493907","138.68","[00119, 00232]","[00119SC0004, 00119SC0012]"
"FRAR01","segmenti","8.5 m","103.850674981308","no","FRAR01","FRAR","II0605","5.2 m","746.723","II0685","5035019.51723826","2310962.92991867","87.56","[232/1, 00102, 00517]","[00102SC0012, 00102SC0015, 00102SC0016]"
"FRAR02","segmenti","7.3 m","50.0000000002854","no","FRAR02","FRAR","II0685","6.7 m","249.413","II0700","5034971.99535732","2310998.26947579","34.27","[232/1, 00102, 00517]","[00102SC0015, 00102SC0016, 00102SC0017]"
"FRES01","segmenti","5.2 m","228.348861599844","no","FRES01","FRES","II0720","2.4 m","1379.31","II0875","5034864.82389646","2310865.77032542","267.49","[232/1, 00102, 00472, 00517]","[00102SC0010, 00102SC0011, 00102SC0018, 00102SC0024]"
"FUOC01","segmenti","17.1 m","138.245285491413","no","FUOC01","FUOC","IE5120","14 m","2464.98","","5033752.28934291","2315081.95865105","136.53","[]","[]"
"FUSE01","segmenti","7 m","125.261345203117","no","FUSE01","FUSE","II0935","5 m","871.4","II0960","5034721.60327312","2311575.27433265","124.75","[00232]","[]"
"GAFF01","segmenti","9.9 m","237.435610792068","no","GAFF01","GAFF","II0660","4.6 m","2659.99","II0800","5034927.36315384","2310565.13382185","269.03","[232/1, 00144, 00145, 00517]","[00144SC0001, 00144SC0002, 00145SC0001]"
"GALE01","segmenti","55 m","460.22042098852","no","GALE01","GALE","IE0570","7.6 m","19510.6","II0910","5034930.95770035","2312819.43616664","0","[00232]","[]"
"GALE02","segmenti","39.5 m","124.551763324162","no","GALE02","GALE","II0910","80 m","3372.77","II0985","5034734.76602465","2312749.15815444","0","[00232]","[]"
"GARZ01","segmenti","5.8 m","140.948953723103","no","GARZ01","GARZ","II0805","3.8 m","1049.75","II0970","5034752.23305861","2311207.33525044","182.07","[00003, 00108, 00232]","[00003SC0065, 00108SC0006, 00108SC0010, 00108SC0016]"
"GERO01","segmenti","10.8 m","361.862903810246","no","GERO01","GERO","II0940","7 m","3671.32","II1120","5034624.91492455","2313208.18725396","341.17","[00160, 00232, II495, II497, 00218, 00220]","[]"
"GESU01","segmenti","18.1 m","171.541404914144","no","GESU01","GESU","IE0175","16.2 m","2329.79","II0260","5035630.07267624","2311935.87761127","128.39","[00232]","[]"
"GESU02","segmenti","10.4 m","59.9191652930818","no","GESU02","GESU","II0260","8 m","455.708","II0300","5035535.23388533","2311907.22666959","44.03","[00232, 00189]","[00189SC0007, 00189SC0008, 00189SC0009, 00189SC0016, 00189SC0018]"
"GHET01","segmenti","8.6 m","129.794539854978","no","GHET01","GHET","II0065","5.2 m","1687.39","II0070","5035899.60151959","2310965.17653843","196.29","[00101, 00232]","[00101SC0002, 00101SC0005, 00101SC0006, 00101SC0007, 00101SC0012, 00101SC0018]"
"GIAR01","segmenti","34.4 m","140.093825248632","no","GIAR01","GIAR","II1255","15.8 m","3280.69","II1305","5034316.35269488","2313430.61428707","95.47","[00413, 00232, 00169, II496, II497, 00218, 00220]","[]"
"GIAR02","segmenti","29.4 m","95.2799689306464","no","GIAR02","GIAR","II1305","24.4 m","2020.06","II1325","5034230.55737111","2313445.34237375","68.66","[00413, 00232, II497, 00218, 00220]","[]"
"GIAR03","segmenti","17.8 m","469.712691007568","no","GIAR03","GIAR","II1325","11.8 m","6396.94","IE1430","5034021.35833172","2313426.70774103","359.21","[00003, 00413, 00232, II497, 00218, 00220]","[00003SC0115, 00413SC0006, 00413SC0007, 00413SC0008, 00413SC0009]"
"GIOB01","segmenti","6 m","279.220517479031","no","GIOB01","GIOB","II0055","3.2 m","1647.87","II0140","5035869.99674485","2310364.97632123","274.35","[00232, II504]","[]"
"GIOR01","segmenti","60.6 m","333.405288216695","no","GIOR01","GIOR","IE1385","42.6 m","12723.48","II1435","5033952.680068","2312097.96019455","210.05","[232/1, 00517]","[]"
"GIOR02","segmenti","65.6 m","279.869269516862","no","GIOR02","GIOR","II1435","60 m","13146.61","IE1500","5033729.77827838","2312059.92405689","200.33","[232/1, 00517]","[]"
"GIRO01","segmenti","12.2 m","377.357006456936","no","GIRO01","GIRO","II0020","7.6 m","4749.65","II0050","5036060.97411903","2310743.88934151","389.16","[00101, 00232]","[00101SC0001, 00101SC0002, 00101SC0003, 00101SC0004, 00101SC0006, 00101SC0013, 00101SC0017]"
"GIUD01","segmenti","8.8 m","344.567029043414","no","GIUD01","GIUD","IE5225","5.8 m","2806.71","IE5110","5040027.57464663","2318129.78698203","317.68","[00303, 00211, 00376, 00158]","[00303SC0001, 00303SC0002, 00303SC0004, 00211SC0001, 00211SC0002]"
"GIUS01","segmenti","15.1 m","299.038407977209","no","GIUS01","GIUS","IE0430","9.2 m","3395.14","II0630","5035156.67878504","2312428.68431622","225.5","[00104, 00232]","[00104SC0008, 00104SC0010]"
"GORN01","segmenti","6.4 m","346.471149683336","no","GORN01","GORN","II0705","2.8 m","1973.09","II0965","5034831.65953834","2312695.40736819","307.82","[00115, 00232, 00447]","[00115SC0002, 00115SC0004, 00115SC0008, 00115SC0010, 00115SC0011, 00447SC0003, 00447SC0005, 00447SC0006, 00447SC0007]"
"GOZZ01","segmenti","7.2 m","164.70427975072","no","GOZZ01","GOZZ","II0270","4.8 m","1170.98","II0300","5035530.9446539","2311814.95907385","163.49","[00003, 00232, 00448, 00189, II502]","[00003SC0043, 00189SC0001, 00189SC0008, 00189SC0009, 00189SC0010, 00189SC0017, 00189SC0018]"
"GRAN01","segmenti","77.4 m","419.623599567514","no","GRAN01","GRAN","IE0220","44.6 m","28096.82","II0375","5035496.20103924","2310154.71799109","362.88","[232/1, 00232, 00517]","[]"
"GRAN02","segmenti","79 m","266.926911830384","no","GRAN02","GRAN","II0375","41.8 m","15761.78","II0460","5035288.23635186","2310306.06590904","199.46","[232/1, 00311, 00232, 00517]","[]"
"GRAN03","segmenti","42.6 m","118.096028381894","no","GRAN03","GRAN","II0425","36.2 m","3498.94","II0460","5035241.94915701","2310422.50876675","82.2","[232/1, 00232, 00517]","[]"
"GRAN04","segmenti","48.1 m","335.743312895363","no","GRAN04","GRAN","II0315","34 m","14249.51","II0425","5035374.066795","2310550.27989197","296.11","[00332, 232/1, 00308, 00184, 00232, 00517]","[]"
"GRAN05","segmenti","43.7 m","120.665926075437","no","GRAN05","GRAN","II0285","40.6 m","3983.99","II0315","5035504.70915363","2310685.75312141","91.2","[232/1, 00312, 00232, 00517]","[]"
"GRAN06","segmenti","49.2 m","217.004347591549","no","GRAN06","GRAN","II0235","39.2 m","9526.99","II0285","5035558.08009073","2310826.80779757","193.73","[232/1, 00232, 00517]","[]"
"GRAN07","segmenti","56.6 m","97.7098849421722","no","GRAN07","GRAN","II0235","46.6 m","4158.44","II0240","5035591.32430247","2310945.32408066","73.44","[232/1, 00232, 00517]","[]"
"GRAN08","segmenti","47.8 m","147.102679620598","no","GRAN08","GRAN","II0240","30 m","6499.38","II0245","5035586.36017105","2311055.69959928","135.91","[232/1, 00312, 00232, 00430, 00517, 00450]","[]"
"GRAN09","segmenti","46.6 m","94.2262752840599","no","GRAN09","GRAN","II0245","40.8 m","2843.98","II0265","5035571.18274621","2311154.6052656","60.96","[232/1, 00312, 00232, 00430, 00517, 00449]","[]"
"GRAN10","segmenti","57 m","144.703640485863","no","GRAN10","GRAN","II0265","45.4 m","6545.75","II0290","5035533.07431397","2311235.89185633","114.76","[232/1, 00232, 00430, 00517, 00449]","[]"
"GRAN11","segmenti","57.8 m","126.212287973788","no","GRAN11","GRAN","II0290","51.6 m","3883.8","II0320","5035502.21457733","2311323.21979162","67.24","[232/1, 00232, 00430, 00517]","[]"
"GRAN12","segmenti","60.2 m","86.5583689560437","no","GRAN12","GRAN","II0320","53.2 m","1704.9","II0335","5035464.18607203","2311351.31088188","28.27","[232/1, 00232, 00517]","[]"
"GRAN13","segmenti","69 m","135.057047867086","no","GRAN13","GRAN","II0335","56.6 m","4626.45","II0355","5035429.67700802","2311384.57165799","66.99","[232/1, 00232, 00517, 00187, II509]","[00187SC0005]"
"GRAN14","segmenti","67.8 m","193.110065417299","no","GRAN14","GRAN","II0355","45 m","8417.5","II0380","5035369.842305","2311459.15393405","124.14","[232/1, 00232, 00517, 00187, II509]","[00187SC0003, 00187SC0005]"
"GRAN15","segmenti","58.8 m","157.252399010404","no","GRAN15","GRAN","II0380","47.4 m","6631.25","II0420","5035306.08320521","2311561.78273931","112.84","[232/1, 00331, 00232, 00517]","[00331SC0004]"
"GRAN16","segmenti","58.7 m","98.2079369000951","no","GRAN16","GRAN","II0420","47.6 m","2752.71","II0450","5035258.39632919","2311619.15246473","46.92","[232/1, 00232, 00517]","[]"
"GRAN17","segmenti","45.8 m","148.547104351833","no","GRAN17","GRAN","II0450","26.4 m","4723.93","II0525","5035193.95238417","2311641.12427825","103.16","[232/1, 00232, 00517]","[]"
"GRAN18","segmenti","41.7 m","209.557054077323","no","GRAN18","GRAN","II0525","26.4 m","7241.8","II0665","5035065.07952349","2311615.50222103","173.57","[232/1, 00232, 00517, PP523, 00314]","[]"
"GRAN19","segmenti","53.9 m","113.593965849031","no","GRAN19","GRAN","II0665","43.4 m","4106.68","II0695","5034990.41724328","2311532.79775039","76.19","[232/1, 00232, 00517]","[]"
"GRAN20","segmenti","58.7 m","164.593456666997","no","GRAN20","GRAN","II0695","47.4 m","8182.63","II0735","5034942.59048316","2311431.05913651","139.32","[232/1, 00232, 00517, 00187, II509]","[00187SC0010]"
"GRAN21","segmenti","65 m","138.49984879668","no","GRAN21","GRAN","II0735","59.8 m","7308.08","II0770","5034894.77364913","2311323.12872724","112.38","[232/1, 00232, 00517, 00187, II509]","[00187SC0009, 00187SC0010]"
"GRAN22","segmenti","68.1 m","111.417414405796","no","GRAN22","GRAN","II0770","66.8 m","2957.4","II0775","5034873.69721858","2311237.69428325","43.36","[232/1, 00232, 00517, 00187, II509]","[00187SC0009]"
"GRAN23","segmenti","71.2 m","114.422009695382","no","GRAN23","GRAN","II0775","65.2 m","3552.61","II0785","5034856.33519981","2311198.256573","49.86","[232/1, 00232, 00517]","[]"
"GRAN24","segmenti","72.1 m","113.833552302458","no","GRAN24","GRAN","II0785","68.7 m","3085.64","II0805","5034843.49739745","2311152.62195265","42.78","[232/1, 00232, 00517]","[]"
"GRAN25","segmenti","62 m","133.325809470164","no","GRAN25","GRAN","II0805","54.2 m","5761.43","II0855","5034813.86249936","2311099.02517733","92.95","[232/1, 00232, 00517]","[]"
"GRAN26","segmenti","60.6 m","112.709788580656","no","GRAN26","GRAN","II0855","53.8 m","4025.3","II0875","5034785.55232906","2311015.37984062","66.36","[232/1, 00232, 00517]","[]"
"GRAN27","segmenti","52 m","90.8027985743034","no","GRAN27","GRAN","II0875","47.4 m","2503.87","II0925","5034756.73225662","2310966.77670211","48.2","[232/1, 00232, 00472, 00517]","[]"
"GRAN28","segmenti","55.4 m","198.56648170433","no","GRAN28","GRAN","II0925","34 m","7828.27","II1030","5034670.46206261","2310949.9250433","141.27","[232/1, 00232, 00517]","[]"
"GRAN29","segmenti","63.7 m","80.4770210579893","no","GRAN29","GRAN","II1030","52.8 m","3088.72","II1085","5034572.6087887","2310958.67075689","48.55","[232/1, 00232, 00517]","[]"
"GRAN30","segmenti","56.4 m","110.719204168378","no","GRAN30","GRAN","II1085","40.4 m","4039.28","II1135","5034516.95333385","2310970.92858911","71.56","[232/1, 00232, 00517]","[]"
"GRAN31","segmenti","47.9 m","113.085654922381","no","GRAN31","GRAN","II1135","39.2 m","3432.77","II1190","5034446.66537792","2311000.26448707","71.65","[232/1, 00232, 00517]","[]"
"GRAN32","segmenti","49.5 m","82.4158079458104","no","GRAN32","GRAN","II1190","46 m","1501.08","II1210","5034418.37020394","2311043.78016985","30.33","[232/1, 00232, 00517]","[]"
"GRAN33","segmenti","51.8 m","87.5532276974105","no","GRAN33","GRAN","II1210","45 m","1627.02","II1220","5034397.53377386","2311065.88417743","31.37","[00302, 232/1, 00313, 00232, 00517]","[00313SC0001, 00313SC0002, 00313SC0003, 00313SC0004, 00313SC0005]"
"GRAN34","segmenti","50.2 m","94.9249030533911","no","GRAN34","GRAN","II1220","44.8 m","2298.86","II1235","5034381.68649349","2311101.92012564","45.79","[232/1, 00232, 00517]","[]"
"GRAN35","segmenti","55.3 m","98.0043489194986","no","GRAN35","GRAN","II1235","47.4 m","3391.23","II1265","5034359.81024869","2311153.94134985","61.3","[232/1, 00120, 00232, 00517]","[00120SC0001]"
"GRAN36","segmenti","63.3 m","157.021743069319","no","GRAN36","GRAN","II1265","48.8 m","8489.97","II1285","5034342.40326126","2311242.21677486","134.21","[232/1, 00120, 00232, 00517]","[00120SC0001, 00120SC0002]"
"GRAN37","segmenti","68.6 m","96.0015808529097","no","GRAN37","GRAN","II1280","65.8 m","2334.09","II1285","5034341.38838918","2311332.30342672","34","[232/1, 00232, 00517]","[]"
"GRAN38","segmenti","67.3 m","103.398424610895","no","GRAN38","GRAN","II1275","58.4 m","5971.95","II1280","5034344.00796138","2311392.69025434","88.71","[232/1, 00232, 00517]","[]"
"GRAN39","segmenti","66.3 m","97.6303477163656","no","GRAN39","GRAN","II1270","61.2 m","2446.69","II1275","5034349.74195934","2311457.41110051","36.9","[232/1, 00232, 00517]","[]"
"GRAN40","segmenti","88 m","177.224551969468","no","GRAN40","GRAN","II1245","68.4 m","13822.16","II1270","5034364.77446811","2311555.3873913","157.06","[232/1, 00232, 00517]","[]"
"GRAN41","segmenti","120.7 m","183.717770144767","no","GRAN41","GRAN","II1245","108 m","7108.97","IE1250","5034364.47447954","2311665.40095245","58.94","[232/1, 00232, 00517]","[]"
"GREC01","segmenti","13 m","271.022277109278","no","GREC01","GREC","II0840","9.8 m","2687.64","IE1035","5034697.48240303","2312292.4984189","207.11","[00136, 00232]","[00136SC0005, 00136SC0008, 00136SC0010, 00136SC0016]"
"GRIM01","segmenti","4.9 m","50.0000000000722","no","GRIM01","GRIM","II0125","4 m","183.626","II0145","5035768.43893429","2311371.93093076","37.56","[00119, 00232]","[00119SC0002, 00119SC0011]"
"GRIM02","segmenti","6.6 m","52.8583263693351","no","GRIM02","GRIM","II0145","5 m","276.603","II0160","5035730.61041984","2311348.33424758","42.18","[00119, 00232]","[00119SC0002, 00119SC0011, 00119SC0012, 00119SC0015]"
"GRIS01","segmenti","4.6 m","135.361256599406","no","GRIS01","GRIS","II0450","2.4 m","644.731","II0455","5035238.40475229","2311723.50029619","141.26","[00103, 00232]","[00103SC0002, 00103SC0026]"
"GRIS02","segmenti","5.7 m","70.6234890772449","no","GRIS02","GRIS","II0455","3.2 m","441.995","II0495","5035198.51157465","2311820.40191993","77.95","[00103, 00232]","[00103SC0001, 00103SC0002, 00103SC0003, 00103SC0026, 00103SC0109]"
"GUER01","segmenti","3.8 m","95.9628481569763","no","GUER01","GUER","II0255","2.6 m","313.34","II0310","5035529.11494558","2311665.57480636","81.64","[00112, 00232, 00448]","[00112SC0006, 00112SC0008, 00112SC0009, 00112SC0016, 00112SC0018, 00448SC0003, 00448SC0004, 00448SC0005]"
"ISEP01","segmenti","8.1 m","283.690882888747","no","ISEP01","ISEP","II1305","6.2 m","2309.23","II1330","5034223.33372953","2313301.76537137","283.41","[00160, 00232, II497, 00218, 00220]","[]"
"ISEP02","segmenti","9.7 m","103.269178837463","no","ISEP02","ISEP","II1330","6.6 m","996.199","IE1340","5034166.31338169","2313113.21297396","103.06","[00160, 00232, 00386, II497, 00218, 00220]","[]"
"LATE01","segmenti","7 m","175.584385030543","no","LATE01","LATE","II0575","5.2 m","1221.16","II0615","5035080.48682466","2312221.08575599","174.51","[00103, 00399, 00232]","[00103SC0021, 00103SC0104]"
"LATE02","segmenti","11 m","90.2109630382921","no","LATE02","LATE","II0615","9 m","909.077","II0630","5035043.41313348","2312357.66047524","82.69","[00136, 00232]","[00136SC0006, 00136SC0007, 00136SC0012, 00136SC0018]"
"LAVR01","segmenti","65.7 m","445.405742795294","no","LAVR01","LAVR","IE1355","41.2 m","21310.63","IE1450","5033935.24325544","2310182.30402751","324.48","[232/1, 00357, 00517]","[]"
"LEPA01","segmenti","9.4 m","416.035163855529","no","LEPA01","LEPA","IE5135","6.5 m","4269.68","II5000","5032418.71806479","2314120.29082158","452.15","[00371, 00379, 00486, PA485, PA488]","[00371SC0001, 00371SC0002, 00371SC0003, 00371SC0008, 00379SC0002]"
